2020-01-16 16:54:17
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",26759,25501.5,25491.3,ns,,,,,
"built_in<1>",25536,27200.5,27189.7,ns,,,,,
"built_in_distance<1>",25799,27059.5,27049.6,ns,,,,,
"minverse<1>",25614,27301.8,27291.4,ns,,,,,
"mshift<1>",25505,27134.5,27124.4,ns,,,,,
"mshift_promoted<1>",25638,27602.3,27588.1,ns,,,,,
"mcomp<1>",25796,27140,27129.8,ns,,,,,
"mcomp_promoted<1>",25594,27371.3,27359.6,ns,,,,,
"built_in<2>",18131,38669.2,38654.6,ns,,,,,
"built_in_distance<2>",13478,51494.8,51475.1,ns,,,,,
"minverse<2>",12060,56344.2,56323.1,ns,,,,,
"mshift<2>",13422,51047,51028.1,ns,,,,,
"mshift_promoted<2>",13137,51085.8,51067.1,ns,,,,,
"mcomp<2>",11897,58720.1,58697.7,ns,,,,,
"mcomp_promoted<2>",11897,58388.6,58365.5,ns,,,,,
"built_in<3>",6831,97766.9,97730.4,ns,,,,,
"built_in_distance<3>",8932,79102.8,79064.2,ns,,,,,
"minverse<3>",10474,67601.3,67575.3,ns,,,,,
"mshift<3>",11792,59646.5,59623.5,ns,,,,,
"mshift_promoted<3>",11355,58411.3,58387.4,ns,,,,,
"mcomp<3>",12028,58974.9,58952.4,ns,,,,,
"mcomp_promoted<3>",12084,59070.7,59048.4,ns,,,,,
"new_algo<3>",8869,79931.1,79901.1,ns,,,,,
"built_in<4>",13138,50563,50544.5,ns,,,,,
"built_in_distance<4>",13129,51081.3,51061.5,ns,,,,,
"minverse<4>",11522,58127.7,58104.1,ns,,,,,
"mshift<4>",13512,51531.2,51511.4,ns,,,,,
"mshift_promoted<4>",13832,50696.4,50677.3,ns,,,,,
"mcomp<4>",11875,58539.9,58517.4,ns,,,,,
"mcomp_promoted<4>",11917,58036.4,58014.9,ns,,,,,
"built_in<5>",7086,98712.7,98674,ns,,,,,
"built_in_distance<5>",8723,77336.5,77308.3,ns,,,,,
"minverse<5>",10023,67365.9,67341.8,ns,,,,,
"mshift<5>",11597,58843.6,58821.4,ns,,,,,
"mshift_promoted<5>",11710,59193.7,59168.8,ns,,,,,
"mcomp<5>",12080,58840.6,58817.1,ns,,,,,
"mcomp_promoted<5>",11381,58292.1,58271,ns,,,,,
"new_algo<5>",8517,79600.1,79570.7,ns,,,,,
"built_in<6>",5990,113009,112966,ns,,,,,
"built_in_distance<6>",8288,85407.7,85375,ns,,,,,
"minverse<6>",10392,67730.1,67703.8,ns,,,,,
"mshift<6>",11651,58651.4,58628.8,ns,,,,,
"mshift_promoted<6>",11410,58745,58722.5,ns,,,,,
"mcomp<6>",11946,59212.4,59189.6,ns,,,,,
"mcomp_promoted<6>",11319,58110,58088.7,ns,,,,,
"new_algo<6>",9040,75773.3,75744.2,ns,,,,,
"built_in<7>",4699,147082,147027,ns,,,,,
"built_in_distance<7>",6705,103722,103683,ns,,,,,
"minverse<7>",10298,67780.5,67753.8,ns,,,,,
"mshift<7>",11860,58464.1,58442.2,ns,,,,,
"mshift_promoted<7>",11848,58937.3,58914.4,ns,,,,,
"mcomp<7>",11322,59009.6,58987,ns,,,,,
"mcomp_promoted<7>",11300,59534.7,59512.4,ns,,,,,
"new_algo<7>",9176,75285.2,75257.4,ns,,,,,
"built_in<8>",13353,51670,51650.3,ns,,,,,
"built_in_distance<8>",13060,50741.4,50722.6,ns,,,,,
"minverse<8>",11860,58679.1,58656.8,ns,,,,,
"mshift<8>",13431,50936.4,50918.7,ns,,,,,
"mshift_promoted<8>",13654,51421.6,51402.8,ns,,,,,
"mcomp<8>",12223,58291.2,58270.2,ns,,,,,
"mcomp_promoted<8>",12023,58132.3,58111.3,ns,,,,,
"built_in<9>",7245,98234.8,98196.6,ns,,,,,
"built_in_distance<9>",9253,73425.5,73399.9,ns,,,,,
"minverse<9>",10017,67335,67311.8,ns,,,,,
"mshift<9>",11368,58822.4,58800.8,ns,,,,,
"mshift_promoted<9>",11900,58724.1,58703.1,ns,,,,,
"mcomp<9>",11377,58855.2,58833.2,ns,,,,,
"mcomp_promoted<9>",12022,59105.1,59084.1,ns,,,,,
"new_algo<9>",7813,88526.2,88495,ns,,,,,
"built_in<10>",6206,113129,113086,ns,,,,,
"built_in_distance<10>",7912,86255.3,86223.8,ns,,,,,
"minverse<10>",10182,68686.2,68659.8,ns,,,,,
"mshift<10>",11665,59183.5,59161.8,ns,,,,,
"mshift_promoted<10>",11357,59216.1,59193.3,ns,,,,,
"mcomp<10>",11615,58601.6,58580.8,ns,,,,,
"mcomp_promoted<10>",11417,59234.7,59213.2,ns,,,,,
"new_algo<10>",7739,89007.4,88974.6,ns,,,,,
"built_in<11>",6562,103602,103564,ns,,,,,
"built_in_distance<11>",8553,79993.4,79964.5,ns,,,,,
"minverse<11>",9915,67469.4,67446.3,ns,,,,,
"mshift<11>",11610,59397.2,59375.5,ns,,,,,
"mshift_promoted<11>",11790,58714.6,58693.3,ns,,,,,
