2020-01-15 16:16:55
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",26471,25431.9,25416.2,ns,,,,,
"built_in<1>",27411,25397.8,25388.6,ns,,,,,
"built_in_distance<1>",27465,25638.8,25623.5,ns,,,,,
"minverse<1>",27524,25600.6,25590.9,ns,,,,,
"mshift<1>",27535,25504.3,25489.5,ns,,,,,
"mshift_promoted<1>",27647,25879.7,25866.4,ns,,,,,
"mcomp<1>",27341,25510.2,25494.4,ns,,,,,
"mcomp_promoted<1>",27388,25723.9,25713.1,ns,,,,,
"built_in<2>",25553,27449.9,27432.9,ns,,,,,
"built_in_distance<2>",25901,27518.1,27507.8,ns,,,,,
"minverse<2>",20520,34336,34315.8,ns,,,,,
"mshift<2>",25706,27411.2,27400.7,ns,,,,,
"mshift_promoted<2>",25444,27349.2,27339.1,ns,,,,,
"mcomp<2>",20701,33999.3,33987,ns,,,,,
"mcomp_promoted<2>",20455,33903.9,33891.7,ns,,,,,
"built_in<3>",11983,57760.7,57738.7,ns,,,,,
"built_in_distance<3>",11597,57506.9,57471.2,ns,,,,,
"minverse<3>",18635,37598.5,37584.7,ns,,,,,
"mshift<3>",20207,34252.5,34232,ns,,,,,
"mshift_promoted<3>",20480,34773,34759.9,ns,,,,,
"mcomp<3>",20299,34517.1,34495.8,ns,,,,,
"mcomp_promoted<3>",20567,34439.3,34426.8,ns,,,,,
"new_algo<3>",11140,63194.7,63157.3,ns,,,,,
"built_in<4>",25573,27842.1,27831.4,ns,,,,,
"built_in_distance<4>",25689,27717.1,27700.6,ns,,,,,
"minverse<4>",20886,33648.4,33636.7,ns,,,,,
"mshift<4>",25317,27509.5,27492.6,ns,,,,,
"mshift_promoted<4>",25279,27339.7,27329.3,ns,,,,,
"mcomp<4>",20452,34234.6,34221.4,ns,,,,,
"mcomp_promoted<4>",20695,34130.3,34117.7,ns,,,,,
"built_in<5>",12157,57573.8,57539.2,ns,,,,,
"built_in_distance<5>",11559,58226,58203.7,ns,,,,,
"minverse<5>",18671,38034.4,38011.9,ns,,,,,
"mshift<5>",20655,34463.2,34450.6,ns,,,,,
"mshift_promoted<5>",20368,34073.6,34061,ns,,,,,
"mcomp<5>",20425,34757.7,34744.2,ns,,,,,
"mcomp_promoted<5>",20356,34494.4,34481.8,ns,,,,,
"new_algo<5>",10524,63105.8,63083.1,ns,,,,,
"built_in<6>",10710,65514.4,65476.4,ns,,,,,
"built_in_distance<6>",10174,65109.4,65085.1,ns,,,,,
"minverse<6>",14766,47431,47403.2,ns,,,,,
"mshift<6>",20811,34435.5,34422.3,ns,,,,,
"mshift_promoted<6>",20494,34056.4,34036.4,ns,,,,,
"mcomp<6>",20287,34538.1,34525.4,ns,,,,,
"mcomp_promoted<6>",20447,34528.3,34508.4,ns,,,,,
"new_algo<6>",12067,58204.7,58183.4,ns,,,,,
"built_in<7>",8344,79805.5,79756.6,ns,,,,,
"built_in_distance<7>",8588,79194.3,79165.5,ns,,,,,
"minverse<7>",18289,37723,37700.6,ns,,,,,
"mshift<7>",20056,34206.4,34194.4,ns,,,,,
"mshift_promoted<7>",20345,34225.4,34205.5,ns,,,,,
"mcomp<7>",20165,34252.5,34239.5,ns,,,,,
"mcomp_promoted<7>",20887,34190.1,34169.8,ns,,,,,
"new_algo<7>",11514,57718.3,57697.5,ns,,,,,
"built_in<8>",24844,27300.7,27284,ns,,,,,
"built_in_distance<8>",25653,27326.1,27315.8,ns,,,,,
"minverse<8>",20617,33926.1,33905,ns,,,,,
"mshift<8>",25166,27462,27451.7,ns,,,,,
"mshift_promoted<8>",25186,27671.7,27655,ns,,,,,
"mcomp<8>",20571,33928.1,33915,ns,,,,,
"mcomp_promoted<8>",20612,34299.6,34279.4,ns,,,,,
"built_in<9>",11897,57460.9,57440,ns,,,,,
"built_in_distance<9>",12245,57538.6,57515.5,ns,,,,,
"minverse<9>",18123,38686.3,38672.3,ns,,,,,
"mshift<9>",20333,34350.1,34329.5,ns,,,,,
"mshift_promoted<9>",20527,33757.5,33745.5,ns,,,,,
"mcomp<9>",20442,34506,34485.1,ns,,,,,
"mcomp_promoted<9>",20385,34521.4,34508,ns,,,,,
"new_algo<9>",9579,69908.4,69865.9,ns,,,,,
"built_in<10>",10389,65288,65265.2,ns,,,,,
"built_in_distance<10>",10312,65238.5,65213.6,ns,,,,,
"minverse<10>",14856,47278.5,47261.2,ns,,,,,
