2020-01-15 20:29:49
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.01, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",26734,25391.4,25381.6,ns,,,,,
"built_in<1>",20676,33874.2,33862.4,ns,,,,,
"built_in_distance<1>",20555,34014,34002,ns,,,,,
"minverse<1>",20755,34277.8,34265.1,ns,,,,,
"mshift<1>",20504,33795,33782.7,ns,,,,,
"mshift_promoted<1>",20265,33956.9,33944.6,ns,,,,,
"mcomp<1>",20569,34092.5,34080.5,ns,,,,,
"mcomp_promoted<1>",20765,33887.7,33875.8,ns,,,,,
"built_in<2>",13423,51073.8,51054.5,ns,,,,,
"built_in_distance<2>",13491,50763.1,50745.4,ns,,,,,
"minverse<2>",12916,51572.9,51555.1,ns,,,,,
"mshift<2>",13566,51045,51026.3,ns,,,,,
"mshift_promoted<2>",13334,50788.6,50770.3,ns,,,,,
"mcomp<2>",12977,53493.2,53474.4,ns,,,,,
"mcomp_promoted<2>",12590,53758.7,53738,ns,,,,,
"built_in<3>",11120,63807.1,63784.4,ns,,,,,
"built_in_distance<3>",11292,60541.5,60519.1,ns,,,,,
"minverse<3>",8795,77378.3,77351.5,ns,,,,,
"mshift<3>",9694,70924.9,70899.4,ns,,,,,
"mshift_promoted<3>",9499,73130.3,73103.7,ns,,,,,
"mcomp<3>",10870,61174.3,61153,ns,,,,,
"mcomp_promoted<3>",11347,61446.9,61425.6,ns,,,,,
"new_algo<3>",7613,90331.2,90299.4,ns,,,,,
"built_in<4>",20542,33893.7,33881.7,ns,,,,,
"built_in_distance<4>",19996,33936.7,33924.9,ns,,,,,
"minverse<4>",12499,53004,52985.4,ns,,,,,
"mshift<4>",13691,51458.3,51440.2,ns,,,,,
"mshift_promoted<4>",13065,51416.7,51397.7,ns,,,,,
"mcomp<4>",12557,53445.9,53426.9,ns,,,,,
"mcomp_promoted<4>",13117,54137,54117,ns,,,,,
"built_in<5>",11989,58121.7,58100.5,ns,,,,,
"built_in_distance<5>",11738,58923.5,58898.7,ns,,,,,
"minverse<5>",8582,78053.5,78025.9,ns,,,,,
"mshift<5>",9502,72188.4,72162.4,ns,,,,,
"mshift_promoted<5>",9969,70644.9,70619.6,ns,,,,,
"mcomp<5>",10886,61296.7,61274.8,ns,,,,,
"mcomp_promoted<5>",11261,60902.3,60881.1,ns,,,,,
