2019-12-08 10:51:17
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",25735,26361.4,26351.6,ns,,,,,
"built_in<1>",25430,27136.6,27127,ns,,,,,
"built_in_distance<1>",20584,33578.7,33566.7,ns,,,,,
"mshift<1>",25622,27503.8,27493.9,ns,,,,,
"mshift_promoted<1>",25834,27023.1,27013.5,ns,,,,,
"mcomp<1>",25642,27249.8,27240,ns,,,,,
"mcomp_promoted<1>",25690,27160,27149.8,ns,,,,,
"built_in<3>",9879,69248.8,69216.1,ns,,,,,
"built_in_distance<3>",10264,68641.6,68613.4,ns,,,,,
"mshift<3>",18766,37556.2,37540.7,ns,,,,,
"mshift_promoted<3>",13237,50778.3,50757.5,ns,,,,,
"mcomp<3>",18777,37492.7,37477.6,ns,,,,,
"mcomp_promoted<3>",16285,43550.5,43533.5,ns,,,,,
"new_algo<3>",13636,51313.1,51293.4,ns,,,,,
"built_in<4>",20277,35127.9,35110.9,ns,,,,,
"built_in_distance<4>",20895,33856.6,33843.4,ns,,,,,
"mshift<4>",18529,36881.4,36867.4,ns,,,,,
"mshift_promoted<4>",18968,37534.4,37519.6,ns,,,,,
"mcomp<4>",20615,33468.7,33456.7,ns,,,,,
"mcomp_promoted<4>",20514,34010,33997.8,ns,,,,,
"built_in<5>",10448,65178.6,65153.6,ns,,,,,
"built_in_distance<5>",10046,68964.1,68937,ns,,,,,
"mshift<5>",18900,37451.4,37436.6,ns,,,,,
"mshift_promoted<5>",13768,50991.8,50971.8,ns,,,,,
"mcomp<5>",18624,37364.9,37350.4,ns,,,,,
"mcomp_promoted<5>",13130,50796.8,50777.9,ns,,,,,
"new_algo<5>",13785,51415.1,51396.5,ns,,,,,
"built_in<6>",9351,74321.1,74292,ns,,,,,
"built_in_distance<6>",9116,74272.5,74242.8,ns,,,,,
"mshift<6>",18942,37171.7,37152.8,ns,,,,,
"mshift_promoted<6>",13245,50437.1,50417.5,ns,,,,,
"mcomp<6>",18587,37427.4,37410.9,ns,,,,,
"mcomp_promoted<6>",16427,43337.7,43320.8,ns,,,,,
"new_algo<6>",13182,51274.6,51254.1,ns,,,,,
"built_in<7>",7370,92579.2,92546.7,ns,,,,,
"built_in_distance<7>",7639,92983.1,92946.5,ns,,,,,
"mshift<7>",18703,37572.1,37558.3,ns,,,,,
"mshift_promoted<7>",13730,50963.4,50943.4,ns,,,,,
"mcomp<7>",18747,37177.8,37163.5,ns,,,,,
"mcomp_promoted<7>",13191,51045.3,51025.5,ns,,,,,
"new_algo<7>",13066,50829.9,50810.3,ns,,,,,
"built_in<8>",20713,33985,33971.9,ns,,,,,
"built_in_distance<8>",19933,34812.7,34799.5,ns,,,,,
"mshift<8>",18867,37356.6,37342.4,ns,,,,,
"mshift_promoted<8>",18976,36809,36794.6,ns,,,,,
"mcomp<8>",18824,36865.6,36851.5,ns,,,,,
"mcomp_promoted<8>",13560,50699.6,50680.3,ns,,,,,
"built_in<9>",9750,68122.7,68098.9,ns,,,,,
"built_in_distance<9>",10328,68118.3,68094.2,ns,,,,,
"mshift<9>",18488,37098.4,37084.7,ns,,,,,
"mshift_promoted<9>",13399,50884.8,50864.3,ns,,,,,
"mcomp<9>",18748,37556.5,37542.5,ns,,,,,
"mcomp_promoted<9>",15997,43149.4,43134.2,ns,,,,,
"new_algo<9>",13844,50622.6,50602.3,ns,,,,,
"built_in<10>",9271,74608,74579.5,ns,,,,,
"built_in_distance<10>",8946,74618.2,74589.8,ns,,,,,
"mshift<10>",18752,37197.2,37182.9,ns,,,,,
"mshift_promoted<10>",13872,50343.1,50325.3,ns,,,,,
"mcomp<10>",18804,37365,37351.7,ns,,,,,
"mcomp_promoted<10>",13588,50654.2,50636.4,ns,,,,,
"new_algo<10>",11036,62383.9,62354,ns,,,,,
"built_in<11>",9498,71570,71542.2,ns,,,,,
"built_in_distance<11>",9525,71392.6,71367,ns,,,,,
"mshift<11>",18585,37396.2,37381.3,ns,,,,,
"mshift_promoted<11>",13925,50713.3,50695.2,ns,,,,,
"mcomp<11>",18756,37385,37371.6,ns,,,,,
"mcomp_promoted<11>",16256,43287.7,43271,ns,,,,,
"new_algo<11>",13105,51017.7,50999.1,ns,,,,,
"built_in<12>",9265,74376.2,74346.6,ns,,,,,
"built_in_distance<12>",6975,97470.2,97432,ns,,,,,
"mshift<12>",18818,37257.8,37242.8,ns,,,,,
"mshift_promoted<12>",13756,50140.2,50119.3,ns,,,,,
"mcomp<12>",18503,37501.1,37486.2,ns,,,,,
"mcomp_promoted<12>",13137,50926.9,50907,ns,,,,,
"new_algo<12>",13788,50515.9,50496.4,ns,,,,,
"built_in<13>",9306,71207.9,71179.9,ns,,,,,
"built_in_distance<13>",9441,71417.8,71387.2,ns,,,,,
"mshift<13>",18624,37707.9,37693.5,ns,,,,,
"mshift_promoted<13>",13205,50055.8,50036.2,ns,,,,,
"mcomp<13>",18837,37482.8,37468.3,ns,,,,,
"mcomp_promoted<13>",16335,43305,43288.1,ns,,,,,
"new_algo<13>",10652,61907.4,61882.9,ns,,,,,
"built_in<14>",8913,77225.3,77198.7,ns,,,,,
"built_in_distance<14>",9019,76702.6,76672.7,ns,,,,,
"mshift<14>",18854,37491.8,37478.6,ns,,,,,
"mshift_promoted<14>",13921,50064.5,50045,ns,,,,,
"mcomp<14>",18582,37074.9,37060.6,ns,,,,,
"mcomp_promoted<14>",13135,50909.9,50890.3,ns,,,,,
"new_algo<14>",13533,50463.9,50446.3,ns,,,,,
"built_in<15>",8509,78248.7,78220.8,ns,,,,,
"built_in_distance<15>",8725,77645.1,77614.9,ns,,,,,
"mshift<15>",18699,37409.3,37394.9,ns,,,,,
"mshift_promoted<15>",13236,49956.5,49931.7,ns,,,,,
"mcomp<15>",18940,37337.9,37323.7,ns,,,,,
"mcomp_promoted<15>",16455,42624.4,42607.7,ns,,,,,
"new_algo<15>",13278,50790.7,50771.2,ns,,,,,
"built_in<16>",20295,34994.3,34981,ns,,,,,
"built_in_distance<16>",20975,34125,34111.9,ns,,,,,
"mshift<16>",19146,37215.5,37201.1,ns,,,,,
"mshift_promoted<16>",18925,37529.4,37511.3,ns,,,,,
"mcomp<16>",18672,36997,36984.2,ns,,,,,
"mcomp_promoted<16>",13747,50739.6,50719.9,ns,,,,,
"built_in<17>",8998,76348.3,76317.8,ns,,,,,
"built_in_distance<17>",9066,76045,76015.9,ns,,,,,
"mshift<17>",18943,36947.9,36933.7,ns,,,,,
"mshift_promoted<17>",13306,50399.3,50381.2,ns,,,,,
"mcomp<17>",18669,37201.1,37187.3,ns,,,,,
"mcomp_promoted<17>",13900,50630.5,50612.8,ns,,,,,
"new_algo<17>",13113,50812.5,50792.7,ns,,,,,
"built_in<18>",9207,73902.7,73874.1,ns,,,,,
"built_in_distance<18>",9111,74600.8,74573.1,ns,,,,,
"mshift<18>",18967,37147.5,37132.7,ns,,,,,
"mshift_promoted<18>",13218,51228,51209.1,ns,,,,,
"mcomp<18>",18382,36869.1,36855.8,ns,,,,,
"mcomp_promoted<18>",16423,42604.3,42583.3,ns,,,,,
"new_algo<18>",13291,50379.6,50360.3,ns,,,,,
"built_in<19>",7554,88855.5,88821.1,ns,,,,,
"built_in_distance<19>",7970,88812.7,88777.5,ns,,,,,
"mshift<19>",18941,37155.2,37141.2,ns,,,,,
"mshift_promoted<19>",13217,50644,50623.7,ns,,,,,
"mcomp<19>",18698,37610,37595.3,ns,,,,,
"mcomp_promoted<19>",13898,50082.4,50063.8,ns,,,,,
"new_algo<19>",10924,62219.3,62196.3,ns,,,,,
"built_in<20>",9329,74470.1,74433.3,ns,,,,,
"built_in_distance<20>",8937,74543.7,74514.7,ns,,,,,
"mshift<20>",18827,37484.8,37470.7,ns,,,,,
"mshift_promoted<20>",13672,50515,50495.5,ns,,,,,
"mcomp<20>",18799,37392.9,37378.5,ns,,,,,
"mcomp_promoted<20>",16457,42805.4,42788.5,ns,,,,,
"new_algo<20>",11039,62060.7,62035.7,ns,,,,,
"built_in<21>",7645,89074.9,89043.7,ns,,,,,
"built_in_distance<21>",7876,88460.3,88416.5,ns,,,,,
"mshift<21>",19001,37189.9,37176.6,ns,,,,,
"mshift_promoted<21>",13115,50447,50427,ns,,,,,
"mcomp<21>",18906,37197.2,37182.2,ns,,,,,
"mcomp_promoted<21>",13589,50815.3,50795.7,ns,,,,,
"new_algo<21>",13717,51059.8,51040.2,ns,,,,,
"built_in<22>",9682,71387.1,71361.8,ns,,,,,
"built_in_distance<22>",9794,71424.8,71395.1,ns,,,,,
"mshift<22>",18671,36992.4,36978.2,ns,,,,,
"mshift_promoted<22>",13886,50728.2,50708.6,ns,,,,,
"mcomp<22>",18723,37457.6,37443.1,ns,,,,,
"mcomp_promoted<22>",16195,42811.2,42794.5,ns,,,,,
"new_algo<22>",13731,51517.6,51497.7,ns,,,,,
"built_in<23>",9767,70622.8,70594.8,ns,,,,,
"built_in_distance<23>",9851,71656.9,71631.3,ns,,,,,
"mshift<23>",18489,37054.7,37036.2,ns,,,,,
"mshift_promoted<23>",13248,50116.1,50098,ns,,,,,
"mcomp<23>",18323,37164.3,37151.1,ns,,,,,
"mcomp_promoted<23>",13814,50069.3,50050.3,ns,,,,,
"new_algo<23>",11166,62309.8,62285.3,ns,,,,,
"built_in<24>",8957,75080.4,75050.9,ns,,,,,
"built_in_distance<24>",9228,75361,75333.4,ns,,,,,
"mshift<24>",18537,36870.5,36857.5,ns,,,,,
"mshift_promoted<24>",13208,50620,50602.4,ns,,,,,
"mcomp<24>",18712,37284.7,37271.7,ns,,,,,
"mcomp_promoted<24>",16325,42998.5,42983.5,ns,,,,,
"new_algo<24>",10796,62117.7,62093.3,ns,,,,,
"built_in<25>",9661,71086.8,71059.5,ns,,,,,
"built_in_distance<25>",9708,71475.3,71447.7,ns,,,,,
"mshift<25>",18877,37282.7,37267.9,ns,,,,,
"mshift_promoted<25>",13289,50497.9,50480,ns,,,,,
"mcomp<25>",18825,36906.8,36888.8,ns,,,,,
"mcomp_promoted<25>",13792,50719.6,50702,ns,,,,,
"new_algo<25>",10839,61737.2,61713.5,ns,,,,,
"built_in<26>",9860,70555.6,70528.1,ns,,,,,
"built_in_distance<26>",9590,70926.8,70899.6,ns,,,,,
"mshift<26>",18603,37156.3,37142.1,ns,,,,,
"mshift_promoted<26>",13210,50348.2,50330.4,ns,,,,,
"mcomp<26>",18664,37110.1,37096.9,ns,,,,,
"mcomp_promoted<26>",16416,42766.2,42748.8,ns,,,,,
"new_algo<26>",10652,61744.2,61722.4,ns,,,,,
"built_in<27>",7656,89401.5,89366.8,ns,,,,,
"built_in_distance<27>",7743,88990,88956.3,ns,,,,,
"mshift<27>",18788,37221.4,37206.8,ns,,,,,
"mshift_promoted<27>",13467,50567.4,50548.5,ns,,,,,
"mcomp<27>",18286,37104.7,37090.9,ns,,,,,
"mcomp_promoted<27>",13716,50361.1,50341.8,ns,,,,,
"new_algo<27>",10883,62017.6,61995.4,ns,,,,,
"built_in<28>",10087,66554.9,66520.4,ns,,,,,
"built_in_distance<28>",10299,66391.9,66366.4,ns,,,,,
"mshift<28>",18438,37197.3,37183,ns,,,,,
"mshift_promoted<28>",13179,50059.7,50040.4,ns,,,,,
"mcomp<28>",18827,37022.2,37008,ns,,,,,
"mcomp_promoted<28>",16278,43432.2,43415,ns,,,,,
"new_algo<28>",13381,50964.3,50945.2,ns,,,,,
"built_in<29>",9990,70954.5,70928.8,ns,,,,,
"built_in_distance<29>",9658,70724.5,70689.5,ns,,,,,
"mshift<29>",18913,37385.4,37372.5,ns,,,,,
"mshift_promoted<29>",13362,50669.2,50649.7,ns,,,,,
"mcomp<29>",18491,37240,37225.8,ns,,,,,
"mcomp_promoted<29>",13543,50936.9,50917.4,ns,,,,,
"new_algo<29>",10742,62388.8,62364.5,ns,,,,,
"built_in<30>",9804,70795.6,70770.1,ns,,,,,
"built_in_distance<30>",9756,71241.9,71214.3,ns,,,,,
"mshift<30>",18940,37420.3,37402,ns,,,,,
"mshift_promoted<30>",13144,51108,51088,ns,,,,,
"mcomp<30>",18759,37286.7,37272.6,ns,,,,,
"mcomp_promoted<30>",16148,42942.7,42926.4,ns,,,,,
"new_algo<30>",10900,62775.7,62752,ns,,,,,
"built_in<31>",7056,95417.8,95381.9,ns,,,,,
"built_in_distance<31>",7074,95529.9,95495.8,ns,,,,,
"mshift<31>",18669,37144.5,37126.4,ns,,,,,
"mshift_promoted<31>",13722,50624.1,50606.4,ns,,,,,
"mcomp<31>",18620,37444.4,37431.6,ns,,,,,
"mcomp_promoted<31>",13136,51011.7,50991.5,ns,,,,,
"new_algo<31>",13821,51723.1,51703.6,ns,,,,,
"built_in<32>",21078,33850.8,33837.8,ns,,,,,
"built_in_distance<32>",20276,35152,35138.9,ns,,,,,
"mshift<32>",19130,37195.6,37181,ns,,,,,
"mshift_promoted<32>",18819,37156.7,37143.7,ns,,,,,
"mcomp<32>",18719,36600.8,36588,ns,,,,,
"mcomp_promoted<32>",13148,51154.8,51134.5,ns,,,,,
"built_in<33>",8879,76578.5,76547.4,ns,,,,,
"built_in_distance<33>",9128,76346.9,76316.5,ns,,,,,
"mshift<33>",18917,37184,37169.3,ns,,,,,
"mshift_promoted<33>",13520,50499.4,50480.9,ns,,,,,
"mcomp<33>",18795,37298.6,37280.2,ns,,,,,
"mcomp_promoted<33>",16374,42850.7,42833.4,ns,,,,,
"new_algo<33>",13132,51097.3,51079,ns,,,,,
"built_in<34>",9423,70126.7,70100,ns,,,,,
"built_in_distance<34>",9723,71318,71290,ns,,,,,
"mshift<34>",18853,37498.9,37483.7,ns,,,,,
"mshift_promoted<34>",13647,50946.9,50927.5,ns,,,,,
"mcomp<34>",18405,37144.2,37130.1,ns,,,,,
"mcomp_promoted<34>",13292,51353.2,51327.9,ns,,,,,
"new_algo<34>",11228,62085.6,62064.4,ns,,,,,
"built_in<35>",7738,90068.9,90033.2,ns,,,,,
"built_in_distance<35>",7858,91538.6,91502.7,ns,,,,,
"mshift<35>",18546,37132.9,37118.8,ns,,,,,
"mshift_promoted<35>",13264,50576.9,50557.5,ns,,,,,
"mcomp<35>",18679,37302.4,37287.6,ns,,,,,
"mcomp_promoted<35>",16389,42867.2,42850.7,ns,,,,,
"new_algo<35>",11113,62792.7,62762,ns,,,,,
"built_in<36>",9405,74591.5,74563,ns,,,,,
"built_in_distance<36>",9315,74016.1,73989.9,ns,,,,,
"mshift<36>",18817,37255.1,37241.6,ns,,,,,
"mshift_promoted<36>",13537,50495.7,50476.4,ns,,,,,
"mcomp<36>",18721,37539.1,37525.6,ns,,,,,
"mcomp_promoted<36>",10000,50313.3,50293.2,ns,,,,,
"new_algo<36>",13106,50907.5,50888.2,ns,,,,,
"built_in<37>",7829,88053.9,88021.5,ns,,,,,
"built_in_distance<37>",7615,87399.2,87356.1,ns,,,,,
"mshift<37>",18668,37333.7,37319.6,ns,,,,,
"mshift_promoted<37>",13433,50491.3,50471.9,ns,,,,,
"mcomp<37>",18985,37028,37013.4,ns,,,,,
"mcomp_promoted<37>",16506,42456.4,42439.6,ns,,,,,
"built_in<38>",9010,75953.7,75924.3,ns,,,,,
"built_in_distance<38>",9110,77411,77381.9,ns,,,,,
"mshift<38>",18686,37694.7,37675.7,ns,,,,,
"mshift_promoted<38>",13742,51148.3,51128.6,ns,,,,,
"mcomp<38>",18772,37261.9,37247.7,ns,,,,,
"mcomp_promoted<38>",13645,51368.8,51351.2,ns,,,,,
"new_algo<38>",11223,62255.4,62231,ns,,,,,
"built_in<39>",7507,90335.4,90299.4,ns,,,,,
"built_in_distance<39>",7681,91729.8,91692.9,ns,,,,,
"mshift<39>",18690,37485.6,37471,ns,,,,,
"mshift_promoted<39>",13749,50656.6,50636.5,ns,,,,,
"mcomp<39>",18740,37387.8,37372.8,ns,,,,,
"mcomp_promoted<39>",16036,43086.7,43070.2,ns,,,,,
"new_algo<39>",10652,62587.8,62563.3,ns,,,,,
"built_in<40>",9390,74813.3,74787.7,ns,,,,,
"built_in_distance<40>",9149,75441.5,75412.3,ns,,,,,
"mshift<40>",18893,37147.6,37133.6,ns,,,,,
"mshift_promoted<40>",13665,50494,50474.7,ns,,,,,
"mcomp<40>",18961,37032.1,37014,ns,,,,,
"mcomp_promoted<40>",13779,50628,50608.1,ns,,,,,
"new_algo<40>",10654,62812.3,62788.8,ns,,,,,
"built_in<41>",9600,71769,71742.7,ns,,,,,
"built_in_distance<41>",9515,71430,71401.8,ns,,,,,
"mshift<41>",18469,37319.1,37304.5,ns,,,,,
"mshift_promoted<41>",13141,50323.3,50303.7,ns,,,,,
"mcomp<41>",18641,37250.5,37236,ns,,,,,
"mcomp_promoted<41>",16280,42556.4,42535.5,ns,,,,,
"new_algo<41>",10827,62282.8,62257.6,ns,,,,,
"built_in<42>",8938,76289.1,76259.3,ns,,,,,
"built_in_distance<42>",8722,77096.7,77068.4,ns,,,,,
"mshift<42>",19020,37172.2,37159.2,ns,,,,,
"mshift_promoted<42>",13143,50494.4,50474.6,ns,,,,,
"mcomp<42>",18965,37090,37077.3,ns,,,,,
"mcomp_promoted<42>",13176,50510.6,50491.4,ns,,,,,
"new_algo<42>",13176,50560.4,50534.7,ns,,,,,
"built_in<43>",9787,70692.2,70666.7,ns,,,,,
"built_in_distance<43>",9845,70666.3,70637.7,ns,,,,,
"mshift<43>",18851,37327.7,37313.8,ns,,,,,
"mshift_promoted<43>",13208,50268,50247.7,ns,,,,,
"mcomp<43>",18815,37098.2,37083.7,ns,,,,,
"mcomp_promoted<43>",16334,42866.7,42851.2,ns,,,,,
"new_algo<43>",11049,62455.3,62431.2,ns,,,,,
"built_in<44>",9891,71063.2,71035.5,ns,,,,,
"built_in_distance<44>",9965,69971.7,69944.3,ns,,,,,
"mshift<44>",18668,37293.2,37278.8,ns,,,,,
"mshift_promoted<44>",13664,50630.2,50611.8,ns,,,,,
"mcomp<44>",18353,37090.6,37077.6,ns,,,,,
"mcomp_promoted<44>",13138,50842.6,50823.3,ns,,,,,
"new_algo<44>",13257,50421,50401.5,ns,,,,,
"built_in<45>",7602,90810.7,90775.8,ns,,,,,
"built_in_distance<45>",7692,90045.7,90014.8,ns,,,,,
"mshift<45>",18451,37192.4,37178.2,ns,,,,,
"mshift_promoted<45>",13721,50651.6,50633.3,ns,,,,,
"mcomp<45>",18534,36997.7,36984.9,ns,,,,,
"mcomp_promoted<45>",16462,42603.8,42587.5,ns,,,,,
"new_algo<45>",11192,62140.9,62119.3,ns,,,,,
"built_in<46>",9631,71050.8,71021.4,ns,,,,,
"built_in_distance<46>",9698,70633.9,70606.7,ns,,,,,
"mshift<46>",18767,37413.6,37395.5,ns,,,,,
"mshift_promoted<46>",13714,50766.9,50747.4,ns,,,,,
"mcomp<46>",18548,37338.3,37323.8,ns,,,,,
"mcomp_promoted<46>",13300,50874.9,50856.4,ns,,,,,
"new_algo<46>",11142,63102.4,63079.3,ns,,,,,
"built_in<47>",9681,71091.5,71063.6,ns,,,,,
"built_in_distance<47>",9750,70415.6,70389,ns,,,,,
"mshift<47>",18607,37421.9,37407.1,ns,,,,,
"mshift_promoted<47>",13164,50886.3,50860.8,ns,,,,,
"mcomp<47>",18768,37694.1,37680,ns,,,,,
"mcomp_promoted<47>",16328,43026.1,43009.4,ns,,,,,
"new_algo<47>",11124,63264.1,63239.6,ns,,,,,
"built_in<48>",9106,75027.5,75000.6,ns,,,,,
"built_in_distance<48>",9230,73877.4,73849.3,ns,,,,,
"mshift<48>",18837,37025.2,37011.9,ns,,,,,
"mshift_promoted<48>",13635,50552,50532.7,ns,,,,,
"mcomp<48>",18603,36923.6,36905.3,ns,,,,,
