2019-12-08 12:11:39
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.01, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20492,33504,33489.6,ns,,,,,
"built_in<1>",20628,33450.8,33437.9,ns,,,,,
"built_in_distance<1>",20312,33513.8,33500.9,ns,,,,,
"mshift<1>",13155,50538,50512.7,ns,,,,,
"mshift_promoted<1>",18590,37381.2,37366.8,ns,,,,,
"mcomp<1>",13152,50535.2,50514,ns,,,,,
"mcomp_promoted<1>",18828,37163.4,37148.8,ns,,,,,
"built_in<2>",13185,51197.8,51175.1,ns,,,,,
"built_in_distance<2>",13178,51468.9,51446.5,ns,,,,,
"mshift<2>",8792,77152.9,77122.4,ns,,,,,
"mshift_promoted<2>",8910,77334.1,77303,ns,,,,,
"mcomp<2>",8858,77120.7,77093.4,ns,,,,,
"mcomp_promoted<2>",8818,77572.6,77533.6,ns,,,,,
"built_in<3>",9026,74358.2,74329.1,ns,,,,,
"built_in_distance<3>",9108,73756.4,73728.2,ns,,,,,
"mshift<3>",7114,94815.3,94780.8,ns,,,,,
"mshift_promoted<3>",6705,100629,100593,ns,,,,,
"mcomp<3>",8310,82476.7,82444.7,ns,,,,,
"mcomp_promoted<3>",7879,89134.5,89100,ns,,,,,
"new_algo<3>",6697,104131,104090,ns,,,,,
"built_in<4>",13757,51019.1,51000.8,ns,,,,,
"built_in_distance<4>",13926,50579.5,50553.6,ns,,,,,
"mshift<4>",8776,77282,77252.4,ns,,,,,
"mshift_promoted<4>",8831,76825.7,76796,ns,,,,,
"mcomp<4>",8741,77099,77071.1,ns,,,,,
"mcomp_promoted<4>",8914,77747.3,77715.9,ns,,,,,
"built_in<5>",9297,74576.9,74546.4,ns,,,,,
"built_in_distance<5>",9216,74085.3,74056.3,ns,,,,,
"mshift<5>",7120,96810.2,96775,ns,,,,,
"mshift_promoted<5>",6731,101015,100976,ns,,,,,
"mcomp<5>",8117,83987.3,83944.2,ns,,,,,
"mcomp_promoted<5>",7743,89297.4,89262.6,ns,,,,,
"new_algo<5>",6692,101377,101337,ns,,,,,
"built_in<6>",8768,77767.2,77739.7,ns,,,,,
"built_in_distance<6>",8915,77296.2,77266.8,ns,,,,,
"mshift<6>",6944,100378,100339,ns,,,,,
"mshift_promoted<6>",6833,99682.3,99644,ns,,,,,
