2020-01-15 12:10:15
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.02, 1.03, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",39682,16792.8,16786.6,ns,,,,,
"built_in<2>",26932,25334.2,25324.9,ns,,,,,
"built_in_distance<2>",28672,25243.1,25234.1,ns,,,,,
"mshift<2>",28668,23969.6,23960.9,ns,,,,,
"mshift_promoted<2>",28584,24246.4,24237.7,ns,,,,,
"mcomp<2>",20751,33527.7,33516,ns,,,,,
"mcomp_promoted<2>",20568,34468.1,34455.6,ns,,,,,
"built_in<3>",11933,57627.1,57598.7,ns,,,,,
"built_in_distance<3>",11735,56507.4,56487.3,ns,,,,,
"mshift<3>",22105,31631,31620,ns,,,,,
"mshift_promoted<3>",19871,35134.1,35121.4,ns,,,,,
"mcomp<3>",22025,31826.8,31815,ns,,,,,
"mcomp_promoted<3>",19459,35251.1,35238.4,ns,,,,,
"new_algo<3>",15456,45434.6,45418.7,ns,,,,,
"built_in<4>",25425,27670.8,27661.5,ns,,,,,
"built_in_distance<4>",25668,27337.5,27327.4,ns,,,,,
"mshift<4>",25412,27367.7,27354.8,ns,,,,,
"mshift_promoted<4>",25101,27497.6,27488,ns,,,,,
"mcomp<4>",20836,33688.4,33676.3,ns,,,,,
"mcomp_promoted<4>",20602,34136.2,34124,ns,,,,,
"built_in<5>",11720,56771.8,56751.7,ns,,,,,
"built_in_distance<5>",11973,55666.5,55646.7,ns,,,,,
"mshift<5>",21760,31400.4,31389.1,ns,,,,,
"mshift_promoted<5>",19505,35100.7,35087.6,ns,,,,,
"mcomp<5>",22290,31850.8,31839.4,ns,,,,,
"mcomp_promoted<5>",19952,34519.4,34507.1,ns,,,,,
"new_algo<5>",15105,45209,45192.2,ns,,,,,
"built_in<6>",10701,64125.5,64101.4,ns,,,,,
"built_in_distance<6>",10344,64674.7,64651.4,ns,,,,,
"mshift<6>",22201,31387,31375.9,ns,,,,,
"mshift_promoted<6>",20068,34843.8,34831.5,ns,,,,,
"mcomp<6>",22350,31737.6,31725.9,ns,,,,,
"mcomp_promoted<6>",19612,34941,34928.7,ns,,,,,
"new_algo<6>",15581,44943.9,44927.9,ns,,,,,
"built_in<7>",8847,78307.6,78279.2,ns,,,,,
"built_in_distance<7>",8557,79044.8,79015.2,ns,,,,,
"mshift<7>",22302,31805.2,31793.8,ns,,,,,
"mshift_promoted<7>",20256,35140.1,35128,ns,,,,,
"mcomp<7>",21956,31567.8,31556.5,ns,,,,,
"mcomp_promoted<7>",19961,34691.3,34678.9,ns,,,,,
"new_algo<7>",15651,44863.3,44847.7,ns,,,,,
"built_in<8>",25667,27354.3,27344.5,ns,,,,,
"built_in_distance<8>",25682,27119,27109.3,ns,,,,,
"mshift<8>",25728,27526.7,27516.7,ns,,,,,
"mshift_promoted<8>",25428,26989.3,26979.9,ns,,,,,
"mcomp<8>",20770,33870.9,33859,ns,,,,,
"mcomp_promoted<8>",20250,34271.4,34259.1,ns,,,,,
"built_in<9>",11978,56092.1,56071.4,ns,,,,,
"built_in_distance<9>",11711,56398.6,56378.6,ns,,,,,
"mshift<9>",22177,31706.3,31695.3,ns,,,,,
"mshift_promoted<9>",19279,35376.6,35364.4,ns,,,,,
"mcomp<9>",21564,31431.5,31420.5,ns,,,,,
"mcomp_promoted<9>",20027,34959.2,34946.8,ns,,,,,
"new_algo<9>",15605,44869.3,44853.3,ns,,,,,
"built_in<10>",10368,64043.5,64020.9,ns,,,,,
"built_in_distance<10>",10324,64819.6,64795.9,ns,,,,,
"mshift<10>",21998,31758.2,31747.1,ns,,,,,
"mshift_promoted<10>",19986,35110.1,35098.2,ns,,,,,
"mcomp<10>",21864,31472.1,31460.7,ns,,,,,
"mcomp_promoted<10>",20055,35617.8,35604.9,ns,,,,,
"new_algo<10>",12532,52505.8,52487.4,ns,,,,,
"built_in<11>",11640,56924.3,56903.7,ns,,,,,
"built_in_distance<11>",11647,56657.8,56637.4,ns,,,,,
"mshift<11>",22266,31700.6,31689.9,ns,,,,,
"mshift_promoted<11>",19770,34874.7,34862.5,ns,,,,,
"mcomp<11>",22140,31343.2,31332.4,ns,,,,,
"mcomp_promoted<11>",20166,35254.8,35242.4,ns,,,,,
"new_algo<11>",15483,44632.5,44616.5,ns,,,,,
"built_in<12>",10792,64381.3,64359,ns,,,,,
"built_in_distance<12>",10933,64313,64289.5,ns,,,,,
"mshift<12>",22147,31840.1,31828.2,ns,,,,,
"mshift_promoted<12>",19745,34743.1,34730.8,ns,,,,,
"mcomp<12>",21719,31593.3,31582,ns,,,,,
"mcomp_promoted<12>",19683,35374.7,35361.9,ns,,,,,
"new_algo<12>",15522,45037.8,45021.6,ns,,,,,
"built_in<13>",11656,56676.6,56656.6,ns,,,,,
"built_in_distance<13>",12030,58039.4,58018.6,ns,,,,,
"mshift<13>",22073,31609.3,31597.7,ns,,,,,
"mshift_promoted<13>",19936,35203.8,35190.6,ns,,,,,
"mcomp<13>",21463,31515.2,31504.2,ns,,,,,
"mcomp_promoted<13>",20043,34823.7,34811.1,ns,,,,,
"new_algo<13>",13690,48512,48494.5,ns,,,,,
