2020-01-16 15:28:10
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.02, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",26316,26085.9,26075.2,ns,,,,,
"built_in<1>",20759,33889.6,33876.6,ns,,,,,
"built_in_distance<1>",20413,33548.2,33535.1,ns,,,,,
"mshift<1>",20779,33947.3,33934.5,ns,,,,,
"mshift_promoted<1>",20274,33797.4,33785.2,ns,,,,,
"mcomp<1>",20460,33881,33864.3,ns,,,,,
"mcomp_promoted<1>",20471,33631.6,33618.9,ns,,,,,
"built_in<2>",13267,50529.2,50510.4,ns,,,,,
"built_in_distance<2>",13112,50539.6,50520.6,ns,,,,,
"mshift<2>",11206,60055.4,60030,ns,,,,,
"mshift_promoted<2>",11529,59872.1,59850.4,ns,,,,,
"mcomp<2>",11349,59370.9,59349.1,ns,,,,,
"mcomp_promoted<2>",11151,59205.6,59183.1,ns,,,,,
"built_in<3>",11830,58899.3,58877.5,ns,,,,,
"built_in_distance<3>",11701,58847.9,58825.9,ns,,,,,
"mshift<3>",8502,79119.6,79089.5,ns,,,,,
"mshift_promoted<3>",8536,82058.3,82027.9,ns,,,,,
"mcomp<3>",9670,69808,69781.4,ns,,,,,
"mcomp_promoted<3>",9645,69758.5,69731.9,ns,,,,,
"new_algo<3>",8222,81974.7,81943.2,ns,,,,,
"built_in<4>",20436,33974.9,33962.3,ns,,,,,
"built_in_distance<4>",20342,33842.9,33830.6,ns,,,,,
"mshift<4>",11214,59124.5,59102.7,ns,,,,,
"mshift_promoted<4>",11566,59394.5,59372.8,ns,,,,,
"mcomp<4>",11223,59655.8,59632.4,ns,,,,,
"mcomp_promoted<4>",11210,59681.7,59659.7,ns,,,,,
"built_in<5>",11704,59259,59236.6,ns,,,,,
"built_in_distance<5>",11366,58439.1,58417.4,ns,,,,,
"mshift<5>",8596,81641,81610.8,ns,,,,,
"mshift_promoted<5>",8852,80261,80227.1,ns,,,,,
"mcomp<5>",9633,70853.6,70825.8,ns,,,,,
"mcomp_promoted<5>",9903,70545.7,70516.8,ns,,,,,
"new_algo<5>",8541,81403,81372.4,ns,,,,,
"built_in<6>",9816,69138.9,69113.4,ns,,,,,
"built_in_distance<6>",10154,69181.1,69154.5,ns,,,,,
"mshift<6>",8458,82807.5,82775.9,ns,,,,,
