2020-01-15 22:07:55
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.12, 1.03, 1.01
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",26627,25503.3,25493.2,ns,,,,,
"built_in<2>",25450,28004.8,27993.3,ns,,,,,
"built_in_distance<2>",25488,27475.7,27465.1,ns,,,,,
"mshift<2>",25072,27707.2,27696.6,ns,,,,,
"mshift_promoted<2>",25617,27394.9,27384.9,ns,,,,,
"mcomp<2>",20388,34231.6,34214.6,ns,,,,,
"mcomp_promoted<2>",20400,33949.3,33936.4,ns,,,,,
"built_in<3>",11542,58018.7,57994.4,ns,,,,,
"built_in_distance<3>",12151,57879.4,57858.2,ns,,,,,
"mshift<3>",20474,34524.9,34512.7,ns,,,,,
"mshift_promoted<3>",20371,34558.1,34545.7,ns,,,,,
"mcomp<3>",20192,34838.8,34825.3,ns,,,,,
"mcomp_promoted<3>",20034,34698.5,34686,ns,,,,,
"new_algo<3>",10923,63573.4,63550.6,ns,,,,,
"built_in<4>",25448,27590.5,27580.3,ns,,,,,
"built_in_distance<4>",25379,27667,27654.1,ns,,,,,
"mshift<4>",25520,27574.9,27564.6,ns,,,,,
"mshift_promoted<4>",25637,27459.4,27448.9,ns,,,,,
"mcomp<4>",20529,33864,33851.4,ns,,,,,
"mcomp_promoted<4>",20540,34072.1,34059.6,ns,,,,,
"built_in<5>",11574,57574.2,57553.9,ns,,,,,
"built_in_distance<5>",11741,58430.4,58408.3,ns,,,,,
"mshift<5>",20407,34264.3,34251.9,ns,,,,,
"mshift_promoted<5>",20493,34272.1,34259.4,ns,,,,,
"mcomp<5>",20083,34647.1,34633.7,ns,,,,,
"mcomp_promoted<5>",20629,34669.7,34657.5,ns,,,,,
"new_algo<5>",10846,64265.4,64242.6,ns,,,,,
"built_in<6>",10269,65490.7,65466.8,ns,,,,,
"built_in_distance<6>",10532,66670.1,66645,ns,,,,,
"mshift<6>",19993,34028.4,34016.3,ns,,,,,
"mshift_promoted<6>",20328,34282.6,34269.9,ns,,,,,
"mcomp<6>",20108,34432.2,34420,ns,,,,,
"mcomp_promoted<6>",20259,34367.2,34354.6,ns,,,,,
"new_algo<6>",11876,58241.1,58219.9,ns,,,,,
"built_in<7>",8519,81535.8,81505.6,ns,,,,,
"built_in_distance<7>",8862,80219.1,80189.3,ns,,,,,
"mshift<7>",20077,35023.3,35010.4,ns,,,,,
"mshift_promoted<7>",20082,34347.8,34335.3,ns,,,,,
"mcomp<7>",20504,34596.2,34584,ns,,,,,
"mcomp_promoted<7>",19820,34432.9,34420,ns,,,,,
"new_algo<7>",11488,58769.2,58747.5,ns,,,,,
"built_in<8>",24999,27638,27627.9,ns,,,,,
"built_in_distance<8>",25486,27691.7,27681.7,ns,,,,,
"mshift<8>",25403,27595.1,27584.9,ns,,,,,
"mshift_promoted<8>",25281,27872.8,27862.3,ns,,,,,
"mcomp<8>",20378,33965.5,33953.4,ns,,,,,
"mcomp_promoted<8>",20600,34082.3,34069.9,ns,,,,,
"built_in<9>",11600,57587.1,57566.5,ns,,,,,
"built_in_distance<9>",11650,57198.9,57178.5,ns,,,,,
"mshift<9>",20180,34355.7,34343.3,ns,,,,,
"mshift_promoted<9>",20410,34219.9,34207.9,ns,,,,,
"mcomp<9>",20313,34563.8,34551.2,ns,,,,,
"mcomp_promoted<9>",20327,34070.1,34057.8,ns,,,,,
"new_algo<9>",9710,70194.7,70168.7,ns,,,,,
"built_in<10>",10167,65975.7,65951.4,ns,,,,,
"built_in_distance<10>",10230,65687.2,65664.2,ns,,,,,
"mshift<10>",20243,34085,34072.8,ns,,,,,
"mshift_promoted<10>",20044,34375.7,34363.1,ns,,,,,
"mcomp<10>",20112,34341.1,34329.3,ns,,,,,
"mcomp_promoted<10>",20219,34331.8,34319.7,ns,,,,,
"new_algo<10>",9759,69279.9,69255,ns,,,,,
"built_in<11>",11528,59035.5,59013.9,ns,,,,,
"built_in_distance<11>",11588,59018.1,58996.2,ns,,,,,
"mshift<11>",20654,34113,34100.8,ns,,,,,
"mshift_promoted<11>",20673,34332.9,34320.2,ns,,,,,
"mcomp<11>",20391,34207.7,34195.1,ns,,,,,
"mcomp_promoted<11>",20250,34380.9,34368.1,ns,,,,,
"new_algo<11>",9559,69661.7,69636.4,ns,,,,,
"built_in<12>",10237,66486.4,66460.2,ns,,,,,
"built_in_distance<12>",10255,65245.8,65221.6,ns,,,,,
"mshift<12>",20682,34253.5,34241.1,ns,,,,,
"mshift_promoted<12>",20437,34536.7,34524.2,ns,,,,,
"mcomp<12>",20592,34071.5,34059.3,ns,,,,,
