2019-12-08 23:36:44
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.02, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",18404,38100.8,38085.9,ns,,,,,
"built_in<1>",13184,51185.7,51166.1,ns,,,,,
"built_in_distance<1>",13728,50574.8,50555.5,ns,,,,,
"mshift<1>",13580,51146,51126.6,ns,,,,,
"mshift_promoted<1>",13483,50515.7,50496.5,ns,,,,,
"mcomp<1>",13730,50966.3,50947.1,ns,,,,,
"mcomp_promoted<1>",17644,39227.2,39213,ns,,,,,
"built_in<2>",13439,50958.2,50939.7,ns,,,,,
"built_in_distance<2>",13121,51459.5,51440.2,ns,,,,,
"mshift<2>",10903,61417.5,61388.8,ns,,,,,
"mshift_promoted<2>",11098,61070.1,61047.7,ns,,,,,
"mcomp<2>",10086,68295.8,68270.8,ns,,,,,
"mcomp_promoted<2>",11280,60667.8,60646.3,ns,,,,,
"built_in<3>",10021,69568.9,69542.9,ns,,,,,
"built_in_distance<3>",9767,68651.5,68625.7,ns,,,,,
"mshift<3>",8399,82734.5,82705.1,ns,,,,,
"mshift_promoted<3>",8089,83269.4,83239.5,ns,,,,,
"mcomp<3>",9654,68860.1,68835.6,ns,,,,,
"mcomp_promoted<3>",9927,68629.8,68604.2,ns,,,,,
"new_algo<3>",7400,91686.6,91652.7,ns,,,,,
"built_in<4>",17304,40788.2,40772.5,ns,,,,,
"built_in_distance<4>",17022,40913.1,40898.1,ns,,,,,
"mshift<4>",11192,61606.3,61584.2,ns,,,,,
"mshift_promoted<4>",11357,61779.8,61757.1,ns,,,,,
"mcomp<4>",10313,66964.8,66940.9,ns,,,,,
"mcomp_promoted<4>",11185,61701.1,61677.5,ns,,,,,
"built_in<5>",10052,69122.2,69097.4,ns,,,,,
"built_in_distance<5>",9747,68416.1,68390.9,ns,,,,,
"mshift<5>",8199,84342.6,84310,ns,,,,,
"mshift_promoted<5>",8259,82743.1,82712.4,ns,,,,,
"mcomp<5>",9973,69803.7,69777.9,ns,,,,,
"mcomp_promoted<5>",9793,68732.4,68707.1,ns,,,,,
"new_algo<5>",7304,94209.9,94175.3,ns,,,,,
"built_in<6>",9068,74427,74399.6,ns,,,,,
"built_in_distance<6>",8952,74522.1,74493.7,ns,,,,,
"mshift<6>",8264,83796.7,83766,ns,,,,,
"mshift_promoted<6>",8333,83904,83873.6,ns,,,,,
"mcomp<6>",10129,68981.4,68957.1,ns,,,,,
"mcomp_promoted<6>",9794,68805.1,68776.9,ns,,,,,
"new_algo<6>",7736,86818.1,86784.7,ns,,,,,
"built_in<7>",7303,93220.4,93187.7,ns,,,,,
"built_in_distance<7>",7467,92477.6,92444.7,ns,,,,,
"mshift<7>",8204,82700.2,82671.3,ns,,,,,
"mshift_promoted<7>",8101,83437.1,83406.5,ns,,,,,
"mcomp<7>",9917,69140.5,69115,ns,,,,,
"mcomp_promoted<7>",9907,69546.7,69520.9,ns,,,,,
"new_algo<7>",7625,89196.8,89165.4,ns,,,,,
"built_in<8>",13471,50677.6,50659.3,ns,,,,,
"built_in_distance<8>",13138,51193.1,51174.5,ns,,,,,
"mshift<8>",11382,61563.7,61541,ns,,,,,
"mshift_promoted<8>",11245,60759.7,60737.4,ns,,,,,
"mcomp<8>",10216,67311.6,67287.3,ns,,,,,
