2020-01-15 05:18:19
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.01, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",40129,16985.7,16980,ns,,,,,
"built_in<1>",40580,16961.5,16955.8,ns,,,,,
"built_in_distance<1>",40910,17202.7,17196.8,ns,,,,,
"mshift<1>",41333,16901.1,16895.2,ns,,,,,
"mshift_promoted<1>",41325,16951.1,16945.5,ns,,,,,
"mcomp<1>",40173,16925,16919.4,ns,,,,,
"mcomp_promoted<1>",41135,17110.3,17104.3,ns,,,,,
"built_in<3>",10795,65216.8,65190.4,ns,,,,,
"built_in_distance<3>",10629,65127.3,65099,ns,,,,,
"mshift<3>",22295,31518.7,31508.7,ns,,,,,
"mshift_promoted<3>",20063,34778.3,34766.7,ns,,,,,
"mcomp<3>",21681,31717.3,31706.6,ns,,,,,
"mcomp_promoted<3>",19652,34363.1,34352,ns,,,,,
"new_algo<3>",15733,45692.8,45675.4,ns,,,,,
"built_in<4>",20738,33850.1,33838.8,ns,,,,,
"built_in_distance<4>",20419,33511.7,33499.1,ns,,,,,
"mshift<4>",20768,33899.9,33888.2,ns,,,,,
"mshift_promoted<4>",20784,33798.5,33786.8,ns,,,,,
"mcomp<4>",20806,33911.4,33899.1,ns,,,,,
"mcomp_promoted<4>",20936,34240.5,34228,ns,,,,,
"built_in<5>",10385,64544.7,64521.7,ns,,,,,
"built_in_distance<5>",10344,64082.2,64060.2,ns,,,,,
"mshift<5>",22115,31758.5,31747.1,ns,,,,,
"mshift_promoted<5>",16065,44025.4,44009.1,ns,,,,,
"mcomp<5>",22257,31734.1,31723.1,ns,,,,,
"mcomp_promoted<5>",20054,34917.7,34905.2,ns,,,,,
"new_algo<5>",15015,45976.4,45959.8,ns,,,,,
"built_in<6>",10148,67353.2,67328.3,ns,,,,,
"built_in_distance<6>",10210,67657.2,67630.4,ns,,,,,
"mshift<6>",21773,31439.3,31427.8,ns,,,,,
"mshift_promoted<6>",16124,43603.3,43587.5,ns,,,,,
"mcomp<6>",22073,32091.1,32078.3,ns,,,,,
"mcomp_promoted<6>",20079,35383.9,35371,ns,,,,,
"new_algo<6>",15069,46422.7,46406.6,ns,,,,,
"built_in<7>",8105,83576.6,83545.3,ns,,,,,
"built_in_distance<7>",8439,84306.4,84275.6,ns,,,,,
"mshift<7>",22182,31811.5,31800.3,ns,,,,,
"mshift_promoted<7>",16060,44073.3,44056.9,ns,,,,,
"mcomp<7>",21833,31683.4,31672.2,ns,,,,,
"mcomp_promoted<7>",19121,36379.8,36367.2,ns,,,,,
"new_algo<7>",14975,46537.2,46520.9,ns,,,,,
"built_in<8>",25685,27342.4,27332.6,ns,,,,,
"built_in_distance<8>",25640,27386.1,27375.9,ns,,,,,
"mshift<8>",20803,33492.3,33480.4,ns,,,,,
"mshift_promoted<8>",20406,33786.6,33774.9,ns,,,,,
"mcomp<8>",20431,33554.6,33542.6,ns,,,,,
"mcomp_promoted<8>",20471,34321.1,34308.6,ns,,,,,
"built_in<9>",10311,64189.6,64166.7,ns,,,,,
"built_in_distance<9>",10736,64562.3,64540.1,ns,,,,,
"mshift<9>",21669,31770.4,31759.3,ns,,,,,
"mshift_promoted<9>",16148,43568.9,43553.1,ns,,,,,
"mcomp<9>",22048,31959.9,31948.4,ns,,,,,
"mcomp_promoted<9>",19939,35808.5,35796.1,ns,,,,,
"new_algo<9>",15006,46735.5,46718.8,ns,,,,,
"built_in<10>",10070,67092.1,67066.5,ns,,,,,
"built_in_distance<10>",9813,67527.7,67503.1,ns,,,,,
"mshift<10>",22137,31802.5,31791.4,ns,,,,,
"mshift_promoted<10>",16121,43936.2,43920.5,ns,,,,,
"mcomp<10>",21928,31287.5,31276.1,ns,,,,,
"mcomp_promoted<10>",18872,36386.1,36373.3,ns,,,,,
"new_algo<10>",12529,53490.8,53471.7,ns,,,,,
"built_in<11>",10387,66410.1,66384.1,ns,,,,,
"built_in_distance<11>",10169,66565.6,66541.6,ns,,,,,
"mshift<11>",22281,31800.3,31788.6,ns,,,,,
"mshift_promoted<11>",16480,42616,42600.9,ns,,,,,
"mcomp<11>",22046,31490.8,31480,ns,,,,,
"mcomp_promoted<11>",18411,37449.5,37435.5,ns,,,,,
"new_algo<11>",15116,46945.3,46928.8,ns,,,,,
"built_in<12>",9820,67461.4,67437.8,ns,,,,,
"built_in_distance<12>",10061,67739.2,67714.9,ns,,,,,
"mshift<12>",22117,31531.5,31520.5,ns,,,,,
"mshift_promoted<12>",16031,43585.4,43571.1,ns,,,,,
"mcomp<12>",21974,31309.2,31297.9,ns,,,,,
"mcomp_promoted<12>",18918,36989.9,36976.7,ns,,,,,
"new_algo<12>",15120,45800,45783.5,ns,,,,,
"built_in<13>",10417,65697.7,65673.6,ns,,,,,
"built_in_distance<13>",10063,66212.9,66189.3,ns,,,,,
"mshift<13>",22142,31730.4,31719.3,ns,,,,,
"mshift_promoted<13>",16226,43177.5,43161.6,ns,,,,,
"mcomp<13>",21770,31960.9,31949.3,ns,,,,,
"mcomp_promoted<13>",18665,36537.7,36524.7,ns,,,,,
"new_algo<13>",14390,48682.8,48665.8,ns,,,,,
"built_in<14>",9752,70154.1,70127.7,ns,,,,,
"built_in_distance<14>",9868,69342.2,69317,ns,,,,,
"mshift<14>",22195,31801.8,31790.6,ns,,,,,
