2020-01-15 06:47:32
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",25432,27361.2,27350.6,ns,,,,,
"built_in<1>",20865,33785.9,33773.1,ns,,,,,
"built_in_distance<1>",20690,33872.7,33860.1,ns,,,,,
"mshift<1>",13886,50798.5,50780.2,ns,,,,,
"mshift_promoted<1>",16341,42772.3,42756.6,ns,,,,,
"mcomp<1>",13905,51139.1,51120.5,ns,,,,,
"mcomp_promoted<1>",13259,50698.2,50678.7,ns,,,,,
"built_in<2>",13629,51359.9,51334.1,ns,,,,,
"built_in_distance<2>",13886,51015.1,50995.3,ns,,,,,
"mshift<2>",9371,74216.3,74190.7,ns,,,,,
"mshift_promoted<2>",9190,73120.1,73094.1,ns,,,,,
"mcomp<2>",9251,74391.7,74365.5,ns,,,,,
"mcomp_promoted<2>",9179,74400,74370.9,ns,,,,,
"built_in<3>",8815,78483.1,78455,ns,,,,,
"built_in_distance<3>",8608,78878.7,78851.3,ns,,,,,
"mshift<3>",7351,94264.2,94229.1,ns,,,,,
"mshift_promoted<3>",6916,100177,100141,ns,,,,,
"mcomp<3>",8249,83873.7,83843.4,ns,,,,,
"mcomp_promoted<3>",7740,87284.1,87253.2,ns,,,,,
"new_algo<3>",6892,97858.8,97824.1,ns,,,,,
"built_in<4>",14955,47366.6,47349.6,ns,,,,,
"built_in_distance<4>",14793,46777.1,46759.8,ns,,,,,
"mshift<4>",9271,74010.4,73983,ns,,,,,
"mshift_promoted<4>",9327,73818.2,73791.5,ns,,,,,
"mcomp<4>",9375,73899.9,73873.5,ns,,,,,
"mcomp_promoted<4>",9382,72808.8,72783.6,ns,,,,,
"built_in<5>",8796,79136.4,79107.9,ns,,,,,
"built_in_distance<5>",8878,78910.7,78883,ns,,,,,
"mshift<5>",7294,94199.7,94166.6,ns,,,,,
"mshift_promoted<5>",7022,99439,99404.1,ns,,,,,
"mcomp<5>",8117,83177.7,83147.9,ns,,,,,
"mcomp_promoted<5>",7872,87892.8,87857.2,ns,,,,,
"new_algo<5>",6838,99255.5,99220.6,ns,,,,,
"built_in<6>",8021,83655.5,83625.5,ns,,,,,
"built_in_distance<6>",8250,84443.6,84414.4,ns,,,,,
"mshift<6>",7228,95384.5,95347.8,ns,,,,,
"mshift_promoted<6>",6871,98687.1,98651,ns,,,,,
"mcomp<6>",8190,83079.6,83048.3,ns,,,,,
"mcomp_promoted<6>",7901,86283.7,86252.9,ns,,,,,
"new_algo<6>",6958,98602.4,98568.2,ns,,,,,
"built_in<7>",6689,104283,104245,ns,,,,,
"built_in_distance<7>",6658,103192,103155,ns,,,,,
"mshift<7>",7430,93758,93725.3,ns,,,,,
"mshift_promoted<7>",6786,99450.5,99415.8,ns,,,,,
"mcomp<7>",8353,83811.2,83781.4,ns,,,,,
"mcomp_promoted<7>",7760,88023.7,87991.3,ns,,,,,
"new_algo<7>",6903,98897.7,98862.7,ns,,,,,
"built_in<8>",13161,50689.4,50671.7,ns,,,,,
"built_in_distance<8>",13195,50854.2,50836.3,ns,,,,,
"mshift<8>",9263,74481.8,74454.7,ns,,,,,
"mshift_promoted<8>",9292,73757.4,73729.6,ns,,,,,
"mcomp<8>",9352,73974.9,73946.6,ns,,,,,
"mcomp_promoted<8>",9122,74144.6,74116.8,ns,,,,,
"built_in<9>",8596,78993.3,78963.9,ns,,,,,
"built_in_distance<9>",8452,80175.6,80147.2,ns,,,,,
"mshift<9>",7261,94492.6,94459.5,ns,,,,,
"mshift_promoted<9>",6860,99827.1,99791.7,ns,,,,,
"mcomp<9>",8215,83365.1,83334.7,ns,,,,,
"mcomp_promoted<9>",7883,87722.9,87691.6,ns,,,,,
"new_algo<9>",6924,97578.5,97543.1,ns,,,,,
"built_in<10>",8107,83702.2,83673,ns,,,,,
"built_in_distance<10>",8325,82834.5,82804.5,ns,,,,,
"mshift<10>",7216,94499.1,94464.4,ns,,,,,
"mshift_promoted<10>",6891,100382,100345,ns,,,,,
"mcomp<10>",8481,83170.8,83141.8,ns,,,,,
"mcomp_promoted<10>",7969,85221,85191.5,ns,,,,,
"new_algo<10>",6608,102555,102520,ns,,,,,
"built_in<11>",8224,83814.3,83783.8,ns,,,,,
"built_in_distance<11>",8219,82869.4,82839.8,ns,,,,,
"mshift<11>",7182,93001.8,92969.5,ns,,,,,
"mshift_promoted<11>",6836,100086,100051,ns,,,,,
"mcomp<11>",8342,84277.8,84247.8,ns,,,,,
"mcomp_promoted<11>",7784,88272,88239.7,ns,,,,,
"new_algo<11>",7006,97817,97781.3,ns,,,,,
"built_in<12>",8053,83199.6,83169.6,ns,,,,,
