2019-07-15 10:36:05
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",37199,18208.5,18202,ns,,,,,
"built_in<1>",37284,18459.9,18453.7,ns,,,,,
"built_in_distance<1>",37925,18558.8,18552.2,ns,,,,,
"minverse<1>",20851,33345.8,33334.5,ns,,,,,
"mshift<1>",20771,33297.2,33285.5,ns,,,,,
"mshift_promoted<1>",37664,18724.8,18718.1,ns,,,,,
"built_in<2>",16881,42197.3,42182.4,ns,,,,,
"built_in_distance<2>",13094,52801.8,52778.9,ns,,,,,
"minverse<2>",11924,57350.3,57328.8,ns,,,,,
"mshift<2>",12467,53613.8,53592.3,ns,,,,,
"mshift_promoted<2>",12933,52798.1,52778.9,ns,,,,,
"built_in<3>",6520,104932,104895,ns,,,,,
"built_in_distance<3>",8543,81862.7,81834.2,ns,,,,,
"minverse<3>",10661,63065.9,63042.1,ns,,,,,
"mshift<3>",11156,62789.3,62766.7,ns,,,,,
"mshift_promoted<3>",10502,65532.3,65509.6,ns,,,,,
"new_algo<3>",8721,77315.2,77287.7,ns,,,,,
"built_in<4>",16921,41562.7,41548.3,ns,,,,,
"built_in_distance<4>",13053,52668.2,52649.5,ns,,,,,
"minverse<4>",12093,57707,57685.2,ns,,,,,
"mshift<4>",13141,52408.6,52390.5,ns,,,,,
"mshift_promoted<4>",12494,53146.7,53127.6,ns,,,,,
"built_in<5>",6398,103223,103188,ns,,,,,
"built_in_distance<5>",8222,82698,82668.2,ns,,,,,
"minverse<5>",11180,62677.6,62655.7,ns,,,,,
"mshift<5>",10500,62605,62583.8,ns,,,,,
"mshift_promoted<5>",10067,66446.3,66422.3,ns,,,,,
"new_algo<5>",8686,78610.2,78581.9,ns,,,,,
"built_in<6>",5884,119383,119340,ns,,,,,
"built_in_distance<6>",7353,91609.3,91577.3,ns,,,,,
"minverse<6>",10135,68701.6,68677.6,ns,,,,,
"mshift<6>",11088,62826.5,62802.6,ns,,,,,
"mshift_promoted<6>",10149,65607.6,65583.9,ns,,,,,
"new_algo<6>",9047,77227.4,77200.5,ns,,,,,
"built_in<7>",4354,155039,154986,ns,,,,,
"built_in_distance<7>",5900,114487,114447,ns,,,,,
"minverse<7>",10518,62196.3,62174,ns,,,,,
"mshift<7>",10975,62771.7,62748.4,ns,,,,,
"mshift_promoted<7>",10670,65135,65112.7,ns,,,,,
"new_algo<7>",9078,75173.3,75146.5,ns,,,,,
"built_in<8>",17240,40175.9,40162.3,ns,,,,,
"built_in_distance<8>",12898,53459.5,53440.2,ns,,,,,
"minverse<8>",11557,57514.8,57493.7,ns,,,,,
"mshift<8>",12930,52403.5,52384.9,ns,,,,,
"mshift_promoted<8>",12812,53235.4,53216,ns,,,,,
