2019-07-15 00:38:27
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.12, 1.08, 1.03
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",19991,33603.2,33591.4,ns,,,,,
"built_in<2>",20710,33751.4,33739.7,ns,,,,,
"built_in_distance<2>",20748,33542.6,33530.6,ns,,,,,
"minverse<2>",25565,27127.4,27118,ns,,,,,
"mshift<2>",25392,27208.3,27198.6,ns,,,,,
"mshift_promoted<2>",29497,23420.6,23412.7,ns,,,,,
"built_in<3>",10644,64791.9,64768.3,ns,,,,,
"built_in_distance<3>",10069,65339,65310.6,ns,,,,,
"minverse<3>",21820,31669.3,31658.2,ns,,,,,
"mshift<3>",16577,42366.7,42352.3,ns,,,,,
"mshift_promoted<3>",13472,50411,50392.6,ns,,,,,
"new_algo<3>",11341,58724.9,58702.2,ns,,,,,
"built_in<4>",20730,33290,33279,ns,,,,,
"built_in_distance<4>",20979,33800.5,33788.1,ns,,,,,
"minverse<4>",20801,33602.9,33590.9,ns,,,,,
"mshift<4>",20631,33629.4,33617.3,ns,,,,,
"mshift_promoted<4>",20635,33513.2,33502,ns,,,,,
"built_in<5>",10640,65010.7,64987.5,ns,,,,,
"built_in_distance<5>",10792,64856.3,64834.2,ns,,,,,
"minverse<5>",21833,31693.3,31682.2,ns,,,,,
"mshift<5>",16718,42161,42144.8,ns,,,,,
"mshift_promoted<5>",13111,50443.2,50425.6,ns,,,,,
"new_algo<5>",11723,58027.5,58007.8,ns,,,,,
"built_in<6>",9613,70408.2,70384.3,ns,,,,,
"built_in_distance<6>",9853,70987.8,70961.5,ns,,,,,
"minverse<6>",16571,41977.6,41963.6,ns,,,,,
"mshift<6>",16650,41930.5,41914.6,ns,,,,,
"mshift_promoted<6>",13776,50294.5,50277.4,ns,,,,,
"new_algo<6>",14603,47904.5,47887.7,ns,,,,,
"built_in<7>",8361,189458,189394,ns,,,,,
"built_in_distance<7>",8278,83367.8,83340.4,ns,,,,,
"minverse<7>",17121,40845.6,40831.3,ns,,,,,
"mshift<7>",16703,42027.2,42013,ns,,,,,
"mshift_promoted<7>",13685,50181.4,50164.4,ns,,,,,
"new_algo<7>",14655,47899.1,47882.5,ns,,,,,
"built_in<8>",20967,33528.7,33516.4,ns,,,,,
"built_in_distance<8>",20907,33387.8,33377,ns,,,,,
"minverse<8>",19002,36734.6,36722.2,ns,,,,,
"mshift<8>",20985,33282.2,33271,ns,,,,,
"mshift_promoted<8>",20997,33372.7,33361.1,ns,,,,,
"built_in<9>",10775,64333.2,64312.4,ns,,,,,
"built_in_distance<9>",10630,64676.5,64652.8,ns,,,,,
"minverse<9>",17158,40878.2,40864.3,ns,,,,,
"mshift<9>",16646,41943.8,41929.3,ns,,,,,
"mshift_promoted<9>",13833,50100.2,50082.9,ns,,,,,
"new_algo<9>",14555,47922.1,47906,ns,,,,,
"built_in<10>",9862,70498.6,70474.7,ns,,,,,
"built_in_distance<10>",9889,70514.9,70490.2,ns,,,,,
"minverse<10>",16711,42043.4,42028.9,ns,,,,,
"mshift<10>",16687,41932.7,41918.5,ns,,,,,
