2019-12-08 18:57:07
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.19, 1.07, 1.02
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",18288,37268.9,37253.2,ns,,,,,
"built_in<2>",18741,37252.4,37237.6,ns,,,,,
"built_in_distance<2>",18612,37055,37040.8,ns,,,,,
"minverse<2>",18438,38440.3,38424.7,ns,,,,,
"mshift<2>",18949,37170,37150.8,ns,,,,,
"mshift_promoted<2>",18601,37539.4,37526.2,ns,,,,,
"mcomp<2>",13656,51279.4,51251.8,ns,,,,,
"mcomp_promoted<2>",13599,50505.4,50484.5,ns,,,,,
"built_in<3>",10145,67157.5,67132.9,ns,,,,,
"built_in_distance<3>",9717,68931.2,68905,ns,,,,,
"minverse<3>",13074,51189.1,51168.6,ns,,,,,
"mshift<3>",13850,50344.4,50325.1,ns,,,,,
"mshift_promoted<3>",13277,50945.3,50926.9,ns,,,,,
"mcomp<3>",13078,51002.6,50976.9,ns,,,,,
"mcomp_promoted<3>",13692,51062,51041.4,ns,,,,,
"new_algo<3>",11295,60584.9,60561.4,ns,,,,,
"built_in<4>",17462,38711.3,38695.7,ns,,,,,
"built_in_distance<4>",13146,50569.9,50551.7,ns,,,,,
"minverse<4>",13755,51008.1,50988.4,ns,,,,,
"mshift<4>",17948,38723.7,38709.7,ns,,,,,
"mshift_promoted<4>",18197,39248.8,39234.6,ns,,,,,
"mcomp<4>",13830,50949.7,50926.8,ns,,,,,
"mcomp_promoted<4>",13182,51243.2,51222.2,ns,,,,,
"built_in<5>",9425,70427.7,70399.5,ns,,,,,
"built_in_distance<5>",10535,65915.2,65890.6,ns,,,,,
"minverse<5>",13629,51293.7,51273.4,ns,,,,,
"mshift<5>",13634,51053.5,51033.3,ns,,,,,
"mshift_promoted<5>",13679,50605.2,50585.8,ns,,,,,
"mcomp<5>",13366,50794.3,50776,ns,,,,,
"mcomp_promoted<5>",13075,50718.9,50698.8,ns,,,,,
"new_algo<5>",11478,61068.5,61044.5,ns,,,,,
"built_in<6>",9198,74597.8,74569.2,ns,,,,,
"built_in_distance<6>",9185,74806.2,74779.3,ns,,,,,
"minverse<6>",13140,52596.6,52576.5,ns,,,,,
"mshift<6>",13745,51078.7,51057.9,ns,,,,,
"mshift_promoted<6>",13586,50817.3,50795,ns,,,,,
"mcomp<6>",13178,50892.4,50873.8,ns,,,,,
"mcomp_promoted<6>",13296,50747.8,50728,ns,,,,,
"new_algo<6>",11641,57134.4,57111.7,ns,,,,,
"built_in<7>",7272,93050.1,93016.9,ns,,,,,
"built_in_distance<7>",7342,92671.3,92639,ns,,,,,
"minverse<7>",13262,50140.8,50121.8,ns,,,,,
"mshift<7>",13702,51471.3,51450.5,ns,,,,,
"mshift_promoted<7>",13853,51301.7,51283.1,ns,,,,,
"mcomp<7>",13681,51063.9,51044.2,ns,,,,,
"mcomp_promoted<7>",13239,50797.3,50776.8,ns,,,,,
"new_algo<7>",11756,57239.1,57216.7,ns,,,,,
"built_in<8>",13456,50419,50400.8,ns,,,,,
"built_in_distance<8>",17756,38769.1,38754.2,ns,,,,,
"minverse<8>",13726,51259.4,51241,ns,,,,,
"mshift<8>",13113,50635.8,50615.6,ns,,,,,
"mshift_promoted<8>",13509,51045.7,51026,ns,,,,,
"mcomp<8>",13784,51000.9,50982.4,ns,,,,,
"mcomp_promoted<8>",13676,50852.8,50835.3,ns,,,,,
"built_in<9>",10697,65303,65277.9,ns,,,,,
"built_in_distance<9>",9874,70470.3,70442.4,ns,,,,,
"minverse<9>",13082,51063.3,51045,ns,,,,,
"mshift<9>",13255,50445.6,50428,ns,,,,,
"mshift_promoted<9>",13257,50732.7,50712.4,ns,,,,,
"mcomp<9>",13607,51358.2,51338.2,ns,,,,,
"mcomp_promoted<9>",13045,50985.3,50966.4,ns,,,,,
"new_algo<9>",11220,61943.6,61921.5,ns,,,,,
"built_in<10>",9321,74407.5,74378.3,ns,,,,,
"built_in_distance<10>",8929,74935.2,74906,ns,,,,,
"minverse<10>",12714,52804.8,52784.9,ns,,,,,
"mshift<10>",13672,50711.2,50691.4,ns,,,,,
"mshift_promoted<10>",13867,50599.2,50578.6,ns,,,,,
"mcomp<10>",13881,51545.4,51519.8,ns,,,,,
"mcomp_promoted<10>",13296,50643.5,50625.4,ns,,,,,
"new_algo<10>",11116,62318.6,62294,ns,,,,,
"built_in<11>",9155,72862.6,72833.4,ns,,,,,
"built_in_distance<11>",9524,72293.1,72264.7,ns,,,,,
"minverse<11>",13562,51282.9,51264.5,ns,,,,,
"mshift<11>",13453,50908.4,50888.1,ns,,,,,
"mshift_promoted<11>",13558,51143.9,51123.6,ns,,,,,
"mcomp<11>",13279,50806.3,50786.4,ns,,,,,
"mcomp_promoted<11>",13169,51024.5,51004.2,ns,,,,,
"new_algo<11>",11218,62788.6,62763.1,ns,,,,,
"built_in<12>",9206,75508.6,75478.9,ns,,,,,
"built_in_distance<12>",9237,74622.5,74593.5,ns,,,,,
"minverse<12>",13096,52726,52706.9,ns,,,,,
"mshift<12>",13046,51117.7,51097.7,ns,,,,,
"mshift_promoted<12>",13827,51241.9,51221.7,ns,,,,,
"mcomp<12>",13549,50861.2,50843.3,ns,,,,,
"mcomp_promoted<12>",13457,51323.5,51304.9,ns,,,,,
"new_algo<12>",12454,55914.1,55892.5,ns,,,,,
"built_in<13>",9560,73008.2,72978.8,ns,,,,,
"built_in_distance<13>",9328,72535.2,72509,ns,,,,,
"minverse<13>",13426,50315.2,50297.5,ns,,,,,
"mshift<13>",13474,50871.8,50851.7,ns,,,,,
"mshift_promoted<13>",13402,50890.4,50870,ns,,,,,
"mcomp<13>",13795,50501.5,50484,ns,,,,,
"mcomp_promoted<13>",13644,51634.6,51613.2,ns,,,,,
"new_algo<13>",10841,62014.5,61991,ns,,,,,
"built_in<14>",7653,87884.8,87850.1,ns,,,,,
"built_in_distance<14>",7978,88118.9,88087.5,ns,,,,,
"minverse<14>",11715,58254.4,58233.6,ns,,,,,
"mshift<14>",13564,50716.3,50696.4,ns,,,,,
"mshift_promoted<14>",13028,51016.5,50996.5,ns,,,,,
"mcomp<14>",13834,51066.5,51049,ns,,,,,
"mcomp_promoted<14>",13431,50649.2,50629.4,ns,,,,,
"new_algo<14>",12326,56642.2,56619,ns,,,,,
"built_in<15>",8950,78121.5,78090.6,ns,,,,,
"built_in_distance<15>",8781,77246.9,77219.5,ns,,,,,
"minverse<15>",13105,50352.7,50332.8,ns,,,,,
"mshift<15>",13192,50278.7,50253.7,ns,,,,,
"mshift_promoted<15>",13236,50751.6,50732,ns,,,,,
"mcomp<15>",13621,51113.4,51095.4,ns,,,,,
"mcomp_promoted<15>",13678,51140.4,51119.4,ns,,,,,
"new_algo<15>",11258,61141.8,61118.4,ns,,,,,
"built_in<16>",18048,39201.3,39186.1,ns,,,,,
"built_in_distance<16>",13132,50556.3,50536.9,ns,,,,,
"minverse<16>",13557,51197.1,51179.1,ns,,,,,
"mshift<16>",18003,39155,39135.6,ns,,,,,
"mshift_promoted<16>",17622,39229.4,39214.3,ns,,,,,
"mcomp<16>",13384,50964.7,50946.1,ns,,,,,
"mcomp_promoted<16>",13500,50976.9,50957,ns,,,,,
"built_in<17>",8675,76691.9,76660.4,ns,,,,,
"built_in_distance<17>",8965,76498.1,76468.4,ns,,,,,
"minverse<17>",13766,50929.4,50910.8,ns,,,,,
"mshift<17>",13496,51289.6,51270,ns,,,,,
"mshift_promoted<17>",13168,50962.7,50942.5,ns,,,,,
"mcomp<17>",13580,50985.1,50959.7,ns,,,,,
"mcomp_promoted<17>",13648,51220.1,51200.8,ns,,,,,
"new_algo<17>",11032,60741.7,60718.4,ns,,,,,
"built_in<18>",9174,74335.2,74305.7,ns,,,,,
"built_in_distance<18>",9245,73596.6,73568.5,ns,,,,,
"minverse<18>",11965,57990.5,57968.9,ns,,,,,
"mshift<18>",13728,50188.3,50168.5,ns,,,,,
"mshift_promoted<18>",13324,51351.8,51330.5,ns,,,,,
"mcomp<18>",13638,50931.8,50914,ns,,,,,
"mcomp_promoted<18>",13780,51610.2,51591,ns,,,,,
"new_algo<18>",11072,62364,62333.5,ns,,,,,
"built_in<19>",9527,73326.6,73296.3,ns,,,,,
"built_in_distance<19>",9407,72963.9,72935.8,ns,,,,,
"minverse<19>",13261,49942.7,49924.9,ns,,,,,
"mshift<19>",13647,50800.9,50781.5,ns,,,,,
"mshift_promoted<19>",13173,50930.6,50910.7,ns,,,,,
"mcomp<19>",13522,51047.8,51029.2,ns,,,,,
"mcomp_promoted<19>",13643,51196,51175.6,ns,,,,,
"new_algo<19>",10913,62023.9,61999.8,ns,,,,,
"built_in<20>",9372,74188.4,74152,ns,,,,,
"built_in_distance<20>",8919,74410.4,74384.5,ns,,,,,
"minverse<20>",11619,58192.7,58171.3,ns,,,,,
"mshift<20>",13713,50549.5,50529.5,ns,,,,,
"mshift_promoted<20>",13351,51062.3,51041.3,ns,,,,,
"mcomp<20>",13003,51207.3,51189.4,ns,,,,,
"mcomp_promoted<20>",13575,51321.1,51300.8,ns,,,,,
"new_algo<20>",10664,62068.5,62045.1,ns,,,,,
"built_in<21>",7707,89794,89757.5,ns,,,,,
"built_in_distance<21>",7383,91619.4,91586.7,ns,,,,,
"minverse<21>",13719,50549.4,50524.3,ns,,,,,
"mshift<21>",13124,50408.3,50388.8,ns,,,,,
"mshift_promoted<21>",13209,50905.4,50884.8,ns,,,,,
"mcomp<21>",13408,50896.9,50878.9,ns,,,,,
"mcomp_promoted<21>",13722,51074.4,51053.8,ns,,,,,
"new_algo<21>",11125,62457.8,62433,ns,,,,,
"built_in<22>",8995,77695.6,77660.8,ns,,,,,
"built_in_distance<22>",8819,77655.6,77628.5,ns,,,,,
"minverse<22>",11844,57768.6,57745.5,ns,,,,,
"mshift<22>",13444,51192.5,51166.4,ns,,,,,
"mshift_promoted<22>",13949,50845.7,50826.1,ns,,,,,
"mcomp<22>",13677,51154.6,51136.6,ns,,,,,
"mcomp_promoted<22>",13215,51351,51330.5,ns,,,,,
"new_algo<22>",11201,62225.2,62201.3,ns,,,,,
"built_in<23>",6729,100413,100373,ns,,,,,
"built_in_distance<23>",6763,100618,100582,ns,,,,,
"minverse<23>",13736,50024.8,50005.7,ns,,,,,
"mshift<23>",13622,51576.8,51556.2,ns,,,,,
"mshift_promoted<23>",13657,51293.9,51268.9,ns,,,,,
"mcomp<23>",13079,51236.8,51217.7,ns,,,,,
"mcomp_promoted<23>",13255,50812.3,50792.9,ns,,,,,
"new_algo<23>",10881,62584.6,62559.6,ns,,,,,
"built_in<24>",9069,74168.5,74139.3,ns,,,,,
"built_in_distance<24>",9149,74217.9,74191.1,ns,,,,,
"minverse<24>",11914,58643.2,58620.2,ns,,,,,
"mshift<24>",13724,50745.5,50725,ns,,,,,
"mshift_promoted<24>",13080,51195.6,51176.3,ns,,,,,
"mcomp<24>",13169,50858.8,50840,ns,,,,,
"mcomp_promoted<24>",946,704906,704547,ns,,,,,
"new_algo<24>",11060,62036.4,62012.3,ns,,,,,
"built_in<25>",7604,89491.5,89457.7,ns,,,,,
"built_in_distance<25>",7348,92166.8,92134.2,ns,,,,,
"minverse<25>",13250,50278.3,50259,ns,,,,,
"mshift<25>",13213,51329.7,51309.5,ns,,,,,
"mshift_promoted<25>",13088,50924.9,50906.3,ns,,,,,
"mcomp<25>",13796,51395.3,51374.3,ns,,,,,
"mcomp_promoted<25>",13604,50995.3,50975.6,ns,,,,,
"new_algo<25>",11277,63275.9,63243.4,ns,,,,,
"built_in<26>",8702,77794.2,77766.1,ns,,,,,
"built_in_distance<26>",8614,77576.8,77548.1,ns,,,,,
"minverse<26>",11523,57285.1,57262.8,ns,,,,,
"mshift<26>",13127,50959.4,50939.1,ns,,,,,
"mshift_promoted<26>",991,625921,625696,ns,,,,,
"mcomp<26>",13720,51467.9,51447.7,ns,,,,,
"mcomp_promoted<26>",13771,50622.2,50603,ns,,,,,
"new_algo<26>",11021,62323.8,62299.1,ns,,,,,
"built_in<27>",9467,72064.3,72037.6,ns,,,,,
"built_in_distance<27>",9176,73034.3,73007.5,ns,,,,,
"minverse<27>",13641,50582.3,50557.3,ns,,,,,
"mshift<27>",13226,50726.2,50708.3,ns,,,,,
"mshift_promoted<27>",13037,51055.3,51036.5,ns,,,,,
"mcomp<27>",13235,50851.6,50830.6,ns,,,,,
"mcomp_promoted<27>",13459,51288.5,51268.1,ns,,,,,
"new_algo<27>",10891,62068.6,62046.6,ns,,,,,
"built_in<28>",7699,88124.7,88093.1,ns,,,,,
"built_in_distance<28>",7771,89118.6,89083.4,ns,,,,,
"minverse<28>",11890,58353.6,58330.5,ns,,,,,
"mshift<28>",13797,50929.4,50910.5,ns,,,,,
"mshift_promoted<28>",13366,51015.3,50997,ns,,,,,
"mcomp<28>",13355,50612.9,50592.6,ns,,,,,
"mcomp_promoted<28>",13763,51062.5,51042,ns,,,,,
"new_algo<28>",11006,61513.9,61491.6,ns,,,,,
"built_in<29>",7104,98601.8,98566.4,ns,,,,,
"built_in_distance<29>",6984,100680,100638,ns,,,,,
"minverse<29>",10000,51198.3,51177.4,ns,,,,,
"mshift<29>",13126,50686.4,50668.5,ns,,,,,
"mshift_promoted<29>",13492,50927.2,50906.7,ns,,,,,
"mcomp<29>",13285,50842.9,50817.3,ns,,,,,
"mcomp_promoted<29>",13234,50850.7,50832.3,ns,,,,,
"new_algo<29>",10864,62679.8,62657.3,ns,,,,,
"built_in<30>",8244,81686,81653.8,ns,,,,,
"built_in_distance<30>",8608,82208.8,82177.2,ns,,,,,
"minverse<30>",13409,51907.8,51889.2,ns,,,,,
"mshift<30>",13333,50464.1,50445.4,ns,,,,,
"mshift_promoted<30>",13597,51331.7,51311.3,ns,,,,,
"mcomp<30>",13690,50639.9,50619.7,ns,,,,,
"mcomp_promoted<30>",13343,51432.8,51414.6,ns,,,,,
"new_algo<30>",10976,62324.5,62301.6,ns,,,,,
"built_in<31>",7202,96173.8,96135.6,ns,,,,,
"built_in_distance<31>",7026,96471.7,96433.7,ns,,,,,
"minverse<31>",13626,50960.2,50942.1,ns,,,,,
"mshift<31>",13261,51421.8,51403,ns,,,,,
"mshift_promoted<31>",13906,51097.1,51076.8,ns,,,,,
"mcomp<31>",13323,50691.9,50671.5,ns,,,,,
"mcomp_promoted<31>",13079,50938.5,50920.2,ns,,,,,
"new_algo<31>",10925,62382.9,62357.2,ns,,,,,
"built_in<32>",18422,37891.6,37877.6,ns,,,,,
"built_in_distance<32>",13223,50742.8,50722.2,ns,,,,,
"minverse<32>",13456,51109.7,51088.9,ns,,,,,
