2019-12-08 20:33:30
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",18249,37719.8,37705.3,ns,,,,,
"built_in<1>",17943,39837.8,39821.5,ns,,,,,
"built_in_distance<1>",17843,39566.3,39550.9,ns,,,,,
"minverse<1>",17617,39012.4,38998.2,ns,,,,,
"mshift<1>",17574,39164.6,39149.8,ns,,,,,
"mshift_promoted<1>",17606,39173.7,39158.9,ns,,,,,
"mcomp<1>",10821,64656,64623.5,ns,,,,,
"mcomp_promoted<1>",10676,63549,63523,ns,,,,,
"built_in<2>",16741,41275.4,41259.1,ns,,,,,
"built_in_distance<2>",16977,41039.7,41023.5,ns,,,,,
"minverse<2>",11321,60131,60108.2,ns,,,,,
"mshift<2>",10900,60954,60931.3,ns,,,,,
"mshift_promoted<2>",11184,60938.2,60915.3,ns,,,,,
"mcomp<2>",8264,83061.1,83029.4,ns,,,,,
"mcomp_promoted<2>",8129,83584.7,83552.2,ns,,,,,
"built_in<3>",9969,69101.8,69074.3,ns,,,,,
"built_in_distance<3>",10234,67875.6,67848.3,ns,,,,,
"minverse<3>",7858,87316,87283.4,ns,,,,,
"mshift<3>",8312,83134,83101.5,ns,,,,,
"mshift_promoted<3>",8077,83176.3,83143.5,ns,,,,,
"mcomp<3>",3111,229766,229674,ns,,,,,
"mcomp_promoted<3>",3032,228867,228778,ns,,,,,
"new_algo<3>",6847,100169,100132,ns,,,,,
"built_in<4>",13645,50628.8,50609.6,ns,,,,,
"built_in_distance<4>",13775,50537.8,50518.3,ns,,,,,
"minverse<4>",10722,62833.7,62809.7,ns,,,,,
"mshift<4>",11185,60970.2,60947.5,ns,,,,,
"mshift_promoted<4>",11272,61165.2,61141.4,ns,,,,,
"mcomp<4>",8326,83110.9,83079.8,ns,,,,,
"mcomp_promoted<4>",8112,83223.6,83190.8,ns,,,,,
"built_in<5>",9811,68140.2,68114.3,ns,,,,,
"built_in_distance<5>",10133,68409.9,68381.1,ns,,,,,
"minverse<5>",8092,87982.1,87949.4,ns,,,,,
"mshift<5>",8306,83190.4,83160.1,ns,,,,,
"mshift_promoted<5>",8436,82881.4,82848.9,ns,,,,,
"mcomp<5>",4424,158345,158283,ns,,,,,
"mcomp_promoted<5>",4454,156813,156753,ns,,,,,
"new_algo<5>",7031,99456.7,99418.1,ns,,,,,
"built_in<6>",9054,74800.2,74770.8,ns,,,,,
"built_in_distance<6>",9155,74435.8,74406.4,ns,,,,,
"minverse<6>",7460,93901.8,93864.1,ns,,,,,
"mshift<6>",8236,83572.8,83543.2,ns,,,,,
"mshift_promoted<6>",8399,82978,82948.2,ns,,,,,
"mcomp<6>",4985,140323,140269,ns,,,,,
"mcomp_promoted<6>",4973,142370,142313,ns,,,,,
"new_algo<6>",7216,97195.1,97158.5,ns,,,,,
"built_in<7>",7716,93043.9,93007.2,ns,,,,,
"built_in_distance<7>",7473,92535.4,92499.6,ns,,,,,
"minverse<7>",8118,87746.4,87713.2,ns,,,,,
"mshift<7>",8258,83649.1,83617.4,ns,,,,,
"mshift_promoted<7>",8443,83463.6,83431.2,ns,,,,,
"mcomp<7>",5266,135419,135369,ns,,,,,
"mcomp_promoted<7>",5214,133683,133630,ns,,,,,
"new_algo<7>",7347,96101.9,96065.3,ns,,,,,
"built_in<8>",16952,40822.4,40806.6,ns,,,,,
"built_in_distance<8>",17184,41236.7,41221,ns,,,,,
"minverse<8>",10648,62195.9,62172.3,ns,,,,,
"mshift<8>",10941,60844.5,60821.2,ns,,,,,
"mshift_promoted<8>",11212,61287.8,61263.7,ns,,,,,
"mcomp<8>",8296,83144.1,83111.5,ns,,,,,
"mcomp_promoted<8>",8212,84065.4,84033.2,ns,,,,,
"built_in<9>",10116,68613.3,68587.2,ns,,,,,
"built_in_distance<9>",10058,68850,68823.2,ns,,,,,
"minverse<9>",7755,88287.6,88254.3,ns,,,,,
"mshift<9>",8483,83112.5,83079.6,ns,,,,,
"mshift_promoted<9>",8380,83577.1,83545.4,ns,,,,,
"mcomp<9>",5826,116382,116339,ns,,,,,
"mcomp_promoted<9>",5217,131961,131910,ns,,,,,
"new_algo<9>",6447,107702,107658,ns,,,,,
"built_in<10>",9436,75198.9,75170,ns,,,,,
"built_in_distance<10>",9085,75268.6,75239.2,ns,,,,,
"minverse<10>",7501,92249.1,92212.4,ns,,,,,
"mshift<10>",8144,83507.8,83477,ns,,,,,
"mshift_promoted<10>",8313,83648.6,83616.2,ns,,,,,
"mcomp<10>",6114,112509,112467,ns,,,,,
"mcomp_promoted<10>",6162,112382,112337,ns,,,,,
"new_algo<10>",6568,105456,105416,ns,,,,,
"built_in<11>",9470,72650.7,72621.6,ns,,,,,
"built_in_distance<11>",9546,72820,72791,ns,,,,,
"minverse<11>",7681,87591.5,87558.8,ns,,,,,
"mshift<11>",8180,83460.9,83428.7,ns,,,,,
"mshift_promoted<11>",8415,83297.7,83264.4,ns,,,,,
"mcomp<11>",6127,112110,112064,ns,,,,,
"mcomp_promoted<11>",6239,108856,108814,ns,,,,,
"new_algo<11>",6395,105837,105797,ns,,,,,
"built_in<12>",9236,75392.2,75362.9,ns,,,,,
"built_in_distance<12>",9219,74426.8,74399,ns,,,,,
"minverse<12>",7605,92799.9,92763.2,ns,,,,,
"mshift<12>",8054,82704.9,82672.7,ns,,,,,
"mshift_promoted<12>",8342,83256.8,83224.3,ns,,,,,
"mcomp<12>",6654,106011,105971,ns,,,,,
"mcomp_promoted<12>",6537,107244,107202,ns,,,,,
"new_algo<12>",7215,94413.2,94377.4,ns,,,,,
"built_in<13>",9718,73487,73458.5,ns,,,,,
"built_in_distance<13>",9755,73123.3,73092.8,ns,,,,,
"minverse<13>",7972,88521.1,88487,ns,,,,,
"mshift<13>",8195,83769.6,83738,ns,,,,,
"mshift_promoted<13>",8509,83831.3,83797.7,ns,,,,,
"mcomp<13>",6857,103276,103235,ns,,,,,
"mcomp_promoted<13>",6708,103595,103554,ns,,,,,
"new_algo<13>",6389,106301,106260,ns,,,,,
"built_in<14>",7881,88181.8,88147.5,ns,,,,,
"built_in_distance<14>",8089,86876,86843.4,ns,,,,,
"minverse<14>",7294,92386.8,92351.4,ns,,,,,
"mshift<14>",8140,83558.5,83526.7,ns,,,,,
"mshift_promoted<14>",8373,84516.6,84484.9,ns,,,,,
"mcomp<14>",6792,101092,101054,ns,,,,,
"mcomp_promoted<14>",6695,101683,101643,ns,,,,,
"new_algo<14>",7320,93511.6,93475.6,ns,,,,,
"built_in<15>",8715,78679.8,78647.8,ns,,,,,
"built_in_distance<15>",8614,77500.5,77471.4,ns,,,,,
"minverse<15>",7697,88808.6,88773.6,ns,,,,,
"mshift<15>",8176,83658.5,83625.5,ns,,,,,
"mshift_promoted<15>",8215,83136.4,83104.8,ns,,,,,
"mcomp<15>",6907,100019,99978.6,ns,,,,,
"mcomp_promoted<15>",6769,100083,100044,ns,,,,,
"new_algo<15>",6834,101150,101111,ns,,,,,
"built_in<16>",13823,51361.4,51341.7,ns,,,,,
"built_in_distance<16>",13685,51215.7,51195.3,ns,,,,,
