2019-12-08 09:35:13
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.01, 1.02, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20155,33643.3,33622.6,ns,,,,,
"built_in<1>",20648,33792.8,33780.4,ns,,,,,
"built_in_distance<1>",25965,27161.7,27146,ns,,,,,
"mshift<1>",20789,33557.8,33545.7,ns,,,,,
"mshift_promoted<1>",21005,33864.8,33852.8,ns,,,,,
"mcomp<1>",20592,33599.6,33580.1,ns,,,,,
"mcomp_promoted<1>",20451,33680.2,33668.2,ns,,,,,
"built_in<2>",20316,34191.6,34168.8,ns,,,,,
"built_in_distance<2>",23899,29231.6,29220.9,ns,,,,,
"mshift<2>",20457,33563.8,33543.9,ns,,,,,
"mshift_promoted<2>",20880,33658.2,33645.8,ns,,,,,
"mcomp<2>",20988,33811.7,33791,ns,,,,,
"mcomp_promoted<2>",21040,33665.2,33653,ns,,,,,
"built_in<3>",10938,61984.8,61948.2,ns,,,,,
"built_in_distance<3>",11106,61314,61292.4,ns,,,,,
"mshift<3>",18525,37514.5,37492.6,ns,,,,,
"mshift_promoted<3>",13429,50190.6,50173.2,ns,,,,,
"mcomp<3>",10000,50233.7,50215.6,ns,,,,,
"mcomp_promoted<3>",13217,50467.5,50450,ns,,,,,
"new_algo<3>",13442,50721.4,50703.9,ns,,,,,
"built_in<4>",21057,33765.6,33753.4,ns,,,,,
"built_in_distance<4>",20308,34818.5,34806.5,ns,,,,,
"mshift<4>",20942,33655.7,33636,ns,,,,,
"mshift_promoted<4>",21117,33821.1,33809.2,ns,,,,,
"mcomp<4>",18890,37440.5,37418.9,ns,,,,,
"mcomp_promoted<4>",13520,50263.2,50245.7,ns,,,,,
"built_in<5>",11370,60651.4,60629.4,ns,,,,,
"built_in_distance<5>",11602,61151.7,61115.7,ns,,,,,
"mshift<5>",18553,37230.8,37216.2,ns,,,,,
"mshift_promoted<5>",13217,50999.9,50969.1,ns,,,,,
"mcomp<5>",18610,37386.7,37373.1,ns,,,,,
"mcomp_promoted<5>",13829,50717.6,50687.8,ns,,,,,
"new_algo<5>",13665,50430.5,50412.4,ns,,,,,
"built_in<6>",9998,68088.2,68064.1,ns,,,,,
"built_in_distance<6>",10282,67968.3,67927.9,ns,,,,,
"mshift<6>",18611,37295.8,37283,ns,,,,,
"mshift_promoted<6>",13144,50707.3,50677.1,ns,,,,,
"mcomp<6>",18873,37512.1,37498.8,ns,,,,,
"mcomp_promoted<6>",13312,50663.9,50634,ns,,,,,
"new_algo<6>",13395,51191.5,51173.7,ns,,,,,
"built_in<7>",7817,85940.1,85909.1,ns,,,,,
"built_in_distance<7>",7892,85465.5,85415.5,ns,,,,,
"mshift<7>",18493,37056.6,37043.4,ns,,,,,
"mshift_promoted<7>",13226,50673.4,50642.9,ns,,,,,
"mcomp<7>",18428,37247.4,37234.3,ns,,,,,
"mcomp_promoted<7>",13505,50579.1,50549.4,ns,,,,,
"new_algo<7>",13192,50134.2,50116.7,ns,,,,,
"built_in<8>",20157,34762.3,34750.1,ns,,,,,
"built_in_distance<8>",20449,33765.5,33754,ns,,,,,
"mshift<8>",20701,33842.1,33822.6,ns,,,,,
"mshift_promoted<8>",20539,33399.4,33387.6,ns,,,,,
"mcomp<8>",18877,37833.3,37811.4,ns,,,,,
"mcomp_promoted<8>",13202,50448,50430.1,ns,,,,,
"built_in<9>",10980,61190.6,61169,ns,,,,,
"built_in_distance<9>",11438,60412.9,60378.2,ns,,,,,
"mshift<9>",18458,37273.6,37260.5,ns,,,,,
