2019-07-15 23:17:36
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20041,33928.1,33906.6,ns,,,,,
"built_in<1>",20721,33814.2,33800.2,ns,,,,,
"built_in_distance<1>",19969,34184.1,34162,ns,,,,,
"mshift<1>",20775,33903.7,33889.5,ns,,,,,
"mshift_promoted<1>",20878,35043.4,35020.8,ns,,,,,
"built_in<2>",20330,34013.1,33999.2,ns,,,,,
"built_in_distance<2>",19878,33958,33937.5,ns,,,,,
"mshift<2>",20437,35038,35023.7,ns,,,,,
"mshift_promoted<2>",20170,33902.1,33890,ns,,,,,
"built_in<3>",9895,69232.5,69204.4,ns,,,,,
"built_in_distance<3>",10804,63288.1,63246.3,ns,,,,,
"mshift<3>",13087,50614.2,50594,ns,,,,,
"mshift_promoted<3>",13727,51409.6,51389.7,ns,,,,,
"new_algo<3>",9572,72424.9,72379.4,ns,,,,,
"built_in<4>",20598,35057.4,35042.3,ns,,,,,
"built_in_distance<4>",18978,36448.2,36435,ns,,,,,
"mshift<4>",20482,34711.3,34698.6,ns,,,,,
"mshift_promoted<4>",19850,34617.8,34604.3,ns,,,,,
"built_in<5>",10152,68087.3,68060.6,ns,,,,,
"built_in_distance<5>",11233,60444.5,60404.8,ns,,,,,
"mshift<5>",13225,51134.8,51113.2,ns,,,,,
"mshift_promoted<5>",13126,51191.1,51171.8,ns,,,,,
"new_algo<5>",9638,71717.1,71672.4,ns,,,,,
"built_in<6>",9683,72687.9,72659.4,ns,,,,,
"built_in_distance<6>",9226,74476.5,74427.2,ns,,,,,
"mshift<6>",13408,51246.4,51227.3,ns,,,,,
"mshift_promoted<6>",13458,50439.9,50420.1,ns,,,,,
"new_algo<6>",10651,66753,66711.4,ns,,,,,
"built_in<7>",7419,91799.2,91761.8,ns,,,,,
"built_in_distance<7>",7352,92820.4,92763.3,ns,,,,,
"mshift<7>",13523,50974.5,50954.7,ns,,,,,
"mshift_promoted<7>",13089,50725.4,50705.4,ns,,,,,
"new_algo<7>",10374,66854.7,66811.4,ns,,,,,
"built_in<8>",20470,34697.2,34683.4,ns,,,,,
"built_in_distance<8>",19204,36932.2,36909.3,ns,,,,,
"mshift<8>",20612,34779.3,34764.3,ns,,,,,
"mshift_promoted<8>",20496,33879.6,33866.7,ns,,,,,
"built_in<9>",10021,67722.5,67694.2,ns,,,,,
"built_in_distance<9>",11129,62291.3,62253.3,ns,,,,,
"mshift<9>",13486,50670.6,50650.5,ns,,,,,
"mshift_promoted<9>",13103,50633.8,50612.6,ns,,,,,
"new_algo<9>",8697,78946.5,78895.4,ns,,,,,
