2019-07-15 08:13:23
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.02, 1.02, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",36697,18257.3,18251,ns,,,,,
"built_in<1>",37512,18667.6,18661.1,ns,,,,,
"built_in_distance<1>",37187,18712.9,18706.2,ns,,,,,
"mshift<1>",21136,33809.3,33797.1,ns,,,,,
"mshift_promoted<1>",21040,33642.4,33631,ns,,,,,
"built_in<2>",20711,33468.5,33457.1,ns,,,,,
"built_in_distance<2>",20852,33634.3,33622.8,ns,,,,,
"mshift<2>",9272,77152.2,77114.5,ns,,,,,
"mshift_promoted<2>",9378,71141.5,71116.4,ns,,,,,
"built_in<3>",9837,68150.8,68126.8,ns,,,,,
"built_in_distance<3>",9799,67757.2,67733.8,ns,,,,,
"mshift<3>",7505,88629.5,88598.9,ns,,,,,
"mshift_promoted<3>",7264,94626,94592.4,ns,,,,,
"new_algo<3>",7505,92545.8,92514.4,ns,,,,,
"built_in<4>",20963,33296.9,33286.3,ns,,,,,
"built_in_distance<4>",21058,33351.5,33340.6,ns,,,,,
"mshift<4>",9419,70850.9,70827.2,ns,,,,,
"mshift_promoted<4>",9564,70358.5,70334.9,ns,,,,,
"built_in<5>",10232,68240.3,68217.7,ns,,,,,
"built_in_distance<5>",9822,67728.5,67704.5,ns,,,,,
"mshift<5>",7518,88573.6,88545.8,ns,,,,,
"mshift_promoted<5>",7033,96338.4,96305.5,ns,,,,,
"new_algo<5>",7705,89089.8,89060,ns,,,,,
"built_in<6>",9079,72878.1,72854.2,ns,,,,,
"built_in_distance<6>",9351,73581.6,73556.8,ns,,,,,
"mshift<6>",7913,89017.2,88987.1,ns,,,,,
"mshift_promoted<6>",6996,95572.9,95542,ns,,,,,
"new_algo<6>",7876,88893.3,88862.5,ns,,,,,
"built_in<7>",7562,90852,90823,ns,,,,,
"built_in_distance<7>",7667,90621.3,90591,ns,,,,,
"mshift<7>",7822,88357.1,88327.6,ns,,,,,
"mshift_promoted<7>",7032,96942.3,96910.1,ns,,,,,
"new_algo<7>",7410,92052.1,92016.9,ns,,,,,
"built_in<8>",21107,33556.7,33545.8,ns,,,,,
"built_in_distance<8>",20708,33821.2,33810.1,ns,,,,,
"mshift<8>",9858,70527.5,70503.7,ns,,,,,
"mshift_promoted<8>",9962,70719.1,70695.8,ns,,,,,
"built_in<9>",9831,68054.8,68031.8,ns,,,,,
"built_in_distance<9>",10313,67619.5,67597.1,ns,,,,,
"mshift<9>",7679,89431.3,89401.3,ns,,,,,
"mshift_promoted<9>",7605,89757,89728.2,ns,,,,,
"new_algo<9>",7409,90048.9,90018.4,ns,,,,,
"built_in<10>",8979,73472,73448.2,ns,,,,,
"built_in_distance<10>",9161,73650.7,73626.8,ns,,,,,
"mshift<10>",7621,88875.9,88846.9,ns,,,,,
"mshift_promoted<10>",7516,89470.9,89441.9,ns,,,,,
"new_algo<10>",6919,98056.6,98023.9,ns,,,,,
"built_in<11>",9839,69457.7,69435.3,ns,,,,,
"built_in_distance<11>",9493,70336.8,70312.2,ns,,,,,
