2019-12-09 08:19:49
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",18282,37624.7,37609.4,ns,,,,,
"built_in<1>",18200,37270.5,37255.8,ns,,,,,
"built_in_distance<1>",18395,37318.7,37304.3,ns,,,,,
"mshift<1>",17666,39357.1,39341.2,ns,,,,,
"mshift_promoted<1>",13366,51003,50983.2,ns,,,,,
"mcomp<1>",17498,39185.7,39170.9,ns,,,,,
"mcomp_promoted<1>",13426,50439.6,50421.8,ns,,,,,
"built_in<2>",16804,40952.5,40933.3,ns,,,,,
"built_in_distance<2>",17138,41012.5,40996.3,ns,,,,,
"mshift<2>",9513,70976.1,70950.2,ns,,,,,
"mshift_promoted<2>",9825,71799.1,71770.9,ns,,,,,
"mcomp<2>",9624,71546.1,71518.1,ns,,,,,
"mcomp_promoted<2>",9639,71022.8,70994.1,ns,,,,,
"built_in<3>",9716,67921.8,67897.7,ns,,,,,
"built_in_distance<3>",10196,68856.1,68832,ns,,,,,
"mshift<3>",7150,96135.3,96086.9,ns,,,,,
"mshift_promoted<3>",7330,94743,94706.4,ns,,,,,
"mcomp<3>",8362,80895.3,80863.3,ns,,,,,
"mcomp_promoted<3>",8766,75790.4,75763.6,ns,,,,,
"new_algo<3>",6467,106483,106441,ns,,,,,
"built_in<4>",13221,50395.8,50376.4,ns,,,,,
"built_in_distance<4>",13337,51185.2,51165.5,ns,,,,,
"mshift<4>",9423,71315.8,71289.2,ns,,,,,
"mshift_promoted<4>",9564,71293.9,71266.5,ns,,,,,
"mcomp<4>",9527,71773.5,71737.9,ns,,,,,
"mcomp_promoted<4>",9644,71471.1,71443.6,ns,,,,,
"built_in<5>",10048,69168.9,69143.7,ns,,,,,
"built_in_distance<5>",10056,68589.9,68562,ns,,,,,
"mshift<5>",7182,95480.2,95443.7,ns,,,,,
"mshift_promoted<5>",7336,95566.7,95528.6,ns,,,,,
"mcomp<5>",8603,80965.1,80936.6,ns,,,,,
"mcomp_promoted<5>",8972,76426.1,76396.5,ns,,,,,
"new_algo<5>",6442,104074,104030,ns,,,,,
"built_in<6>",9170,75181.3,75144.5,ns,,,,,
"built_in_distance<6>",9362,74108.6,74078,ns,,,,,
"mshift<6>",7343,94085.4,94052.1,ns,,,,,
"mshift_promoted<6>",7095,95085.7,95047.6,ns,,,,,
"mcomp<6>",8855,76754.5,76723.2,ns,,,,,
"mcomp_promoted<6>",8295,81620.8,81589.5,ns,,,,,
"new_algo<6>",7016,100924,100887,ns,,,,,
"built_in<7>",7664,92578.8,92542.6,ns,,,,,
"built_in_distance<7>",7569,93152.9,93116.2,ns,,,,,
"mshift<7>",7435,94517.5,94470.9,ns,,,,,
"mshift_promoted<7>",7200,95085.9,95048.4,ns,,,,,
"mcomp<7>",8660,81388.8,81359.4,ns,,,,,
"mcomp_promoted<7>",9267,75969.5,75939.6,ns,,,,,
"new_algo<7>",7244,97954.8,97916.4,ns,,,,,
"built_in<8>",17049,41058.5,41041.8,ns,,,,,
"built_in_distance<8>",17074,41366.9,41352.2,ns,,,,,
"mshift<8>",9467,71084.2,71056.7,ns,,,,,
"mshift_promoted<8>",9502,70862.2,70827.6,ns,,,,,
"mcomp<8>",9551,71668.4,71643.1,ns,,,,,
"mcomp_promoted<8>",9960,71232.6,71206,ns,,,,,
"built_in<9>",9695,68542.9,68516.2,ns,,,,,
"built_in_distance<9>",10250,68559.8,68533.6,ns,,,,,
"mshift<9>",7110,94468.7,94432.6,ns,,,,,
"mshift_promoted<9>",7345,94779.5,94745.6,ns,,,,,
"mcomp<9>",8370,80591.9,80560.2,ns,,,,,
"mcomp_promoted<9>",9065,76853.1,76821.5,ns,,,,,
"new_algo<9>",6141,110007,109952,ns,,,,,
"built_in<10>",8967,74556.1,74528.5,ns,,,,,
"built_in_distance<10>",9356,74273.4,74244.1,ns,,,,,
"mshift<10>",7310,93922,93884,ns,,,,,
"mshift_promoted<10>",7496,95201.7,95164.4,ns,,,,,
"mcomp<10>",9261,76967.3,76937.6,ns,,,,,
"mcomp_promoted<10>",8557,81603.9,81574.4,ns,,,,,
"new_algo<10>",6246,110394,110351,ns,,,,,
"built_in<11>",9417,72424.1,72394.3,ns,,,,,
"built_in_distance<11>",9784,73438.4,73401.5,ns,,,,,
"mshift<11>",7193,95900,95864.8,ns,,,,,
"mshift_promoted<11>",7070,94903.6,94868.6,ns,,,,,
"mcomp<11>",8689,80901.4,80870.7,ns,,,,,
"mcomp_promoted<11>",8995,78184.6,78152.3,ns,,,,,
"new_algo<11>",6389,112350,112305,ns,,,,,
"built_in<12>",9069,74861.9,74835,ns,,,,,
"built_in_distance<12>",9498,74755.7,74726.8,ns,,,,,
"mshift<12>",7307,94143.9,94107.4,ns,,,,,
"mshift_promoted<12>",7234,95476,95426,ns,,,,,
"mcomp<12>",8800,77396.9,77369.7,ns,,,,,
"mcomp_promoted<12>",8692,80949.4,80919.8,ns,,,,,
"new_algo<12>",6905,100250,100211,ns,,,,,
"built_in<13>",9403,72119.8,72091.9,ns,,,,,
