2019-07-15 08:59:27
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.04, 1.03, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20514,33637.2,33626,ns,,,,,
"built_in<2>",21207,33473.5,33454.4,ns,,,,,
"built_in_distance<2>",20783,33316.7,33305.6,ns,,,,,
"mshift<2>",20832,33585.8,33565.1,ns,,,,,
"mshift_promoted<2>",20756,33122.3,33110.6,ns,,,,,
"built_in<3>",13153,50898.4,50868.4,ns,,,,,
"built_in_distance<3>",13555,50863.5,50845.3,ns,,,,,
"mshift<3>",20800,34354.9,34328.8,ns,,,,,
"mshift_promoted<3>",20930,33678.6,33667.1,ns,,,,,
"new_algo<3>",13941,47905.3,47875.2,ns,,,,,
"built_in<4>",25677,27040,27030.3,ns,,,,,
"built_in_distance<4>",25404,26845.8,26835.7,ns,,,,,
"mshift<4>",20310,33501.9,33489.6,ns,,,,,
"mshift_promoted<4>",25397,27086.6,27070.3,ns,,,,,
"built_in<5>",11839,57316.7,57295.7,ns,,,,,
"built_in_distance<5>",11752,56851.5,56832.2,ns,,,,,
"mshift<5>",20855,33984.7,33965.4,ns,,,,,
"mshift_promoted<5>",20490,33781.3,33769,ns,,,,,
"new_algo<5>",13915,47975.6,47947.7,ns,,,,,
"built_in<6>",10291,63991.8,63969.3,ns,,,,,
"built_in_distance<6>",10403,64813.1,64788.8,ns,,,,,
"mshift<6>",20716,33401.7,33389.4,ns,,,,,
"mshift_promoted<6>",20489,33593,33580.1,ns,,,,,
"new_algo<6>",14495,47460.3,47443.1,ns,,,,,
"built_in<7>",8514,78613,78584.2,ns,,,,,
"built_in_distance<7>",8578,79030.6,79001.8,ns,,,,,
"mshift<7>",20962,33928.1,33915.3,ns,,,,,
"mshift_promoted<7>",20811,33782.9,33771,ns,,,,,
"new_algo<7>",13807,47526.7,47510.9,ns,,,,,
"built_in<8>",21115,33969.4,33949.4,ns,,,,,
"built_in_distance<8>",21258,33474.6,33463.5,ns,,,,,
"mshift<8>",20690,33595.2,33583,ns,,,,,
"mshift_promoted<8>",20850,33253,33233.1,ns,,,,,
"built_in<9>",13420,50242.4,50225.6,ns,,,,,
"built_in_distance<9>",12511,52449.8,52429.9,ns,,,,,
"mshift<9>",20831,33480.4,33460.3,ns,,,,,
"mshift_promoted<9>",20610,33367,33355,ns,,,,,
"new_algo<9>",13801,48917.3,48886.4,ns,,,,,
"built_in<10>",10775,64440.4,64417.4,ns,,,,,
"built_in_distance<10>",10756,64748.3,64726.6,ns,,,,,
"mshift<10>",20948,33947.5,33936,ns,,,,,
"mshift_promoted<10>",20843,33906.2,33893.7,ns,,,,,
"new_algo<10>",11871,55847.2,55828.2,ns,,,,,
"built_in<11>",11968,56272.4,56251.3,ns,,,,,
"built_in_distance<11>",11651,56820.7,56785.7,ns,,,,,
"mshift<11>",20844,33354.6,33342.5,ns,,,,,
"mshift_promoted<11>",20722,34408.3,34387.5,ns,,,,,
"new_algo<11>",13798,47268.2,47251.2,ns,,,,,
"built_in<12>",10420,64593.3,64570,ns,,,,,
"built_in_distance<12>",10662,64806.9,64767.5,ns,,,,,
"mshift<12>",20962,33400.1,33388.4,ns,,,,,
"mshift_promoted<12>",20703,33975.4,33962.7,ns,,,,,
"new_algo<12>",14693,48010.6,47994.9,ns,,,,,
"built_in<13>",12254,56883,56849.4,ns,,,,,
"built_in_distance<13>",11892,56335.8,56315.7,ns,,,,,
"mshift<13>",20805,33660.9,33640.6,ns,,,,,
"mshift_promoted<13>",20799,33449.8,33437.3,ns,,,,,
"new_algo<13>",11014,60611.1,60572.9,ns,,,,,
"built_in<14>",11791,58378.5,58359.7,ns,,,,,
"built_in_distance<14>",11260,58573.4,58551.3,ns,,,,,
"mshift<14>",20670,33676.1,33664.9,ns,,,,,
"mshift_promoted<14>",20623,33493.5,33482.4,ns,,,,,
"new_algo<14>",14562,47229.5,47214.9,ns,,,,,
"built_in<15>",9735,68059.7,68036.8,ns,,,,,
"built_in_distance<15>",10131,68947.5,68906.1,ns,,,,,
"mshift<15>",21218,33845,33832.2,ns,,,,,
"mshift_promoted<15>",20890,34032.2,34019.4,ns,,,,,
"new_algo<15>",13804,47546.1,47528.5,ns,,,,,
"built_in<16>",25548,27276.4,27259.6,ns,,,,,
"built_in_distance<16>",25857,26779.4,26769.9,ns,,,,,
"mshift<16>",20944,33717.1,33697.3,ns,,,,,
"mshift_promoted<16>",25990,26824.7,26815.2,ns,,,,,
"built_in<17>",9861,68519.7,68475.5,ns,,,,,
"built_in_distance<17>",9741,68050.3,68027.1,ns,,,,,
"mshift<17>",21030,33733.6,33714.4,ns,,,,,
"mshift_promoted<17>",20784,33461.1,33449.6,ns,,,,,
"new_algo<17>",14642,47626.7,47597.5,ns,,,,,
"built_in<18>",10855,65406.3,65384,ns,,,,,
"built_in_distance<18>",10228,64239.5,64199.7,ns,,,,,
"mshift<18>",20761,33552.3,33541.1,ns,,,,,
"mshift_promoted<18>",20836,33657.9,33638.3,ns,,,,,
"new_algo<18>",13793,47452.1,47434.6,ns,,,,,
"built_in<19>",9153,72828.9,72801.3,ns,,,,,
"built_in_distance<19>",9120,73361.7,73316.6,ns,,,,,
"mshift<19>",21006,33437.5,33424.8,ns,,,,,
"mshift_promoted<19>",20789,33273.4,33252.9,ns,,,,,
"new_algo<19>",11948,55581.5,55561.5,ns,,,,,
"built_in<20>",10816,64467.8,64443.2,ns,,,,,
"built_in_distance<20>",10295,64899.7,64874.8,ns,,,,,
"mshift<20>",21243,33611.6,33598.7,ns,,,,,
"mshift_promoted<20>",20066,34203.5,34190.9,ns,,,,,
"new_algo<20>",11108,60181.7,60157.8,ns,,,,,
"built_in<21>",9265,73650.4,73607.7,ns,,,,,
"built_in_distance<21>",9095,74228.5,74201.1,ns,,,,,
"mshift<21>",21158,33765.4,33745.3,ns,,,,,
"mshift_promoted<21>",20723,33456.6,33445.5,ns,,,,,
"new_algo<21>",13805,48105.8,48075.7,ns,,,,,
"built_in<22>",12732,51966.3,51946.3,ns,,,,,
"built_in_distance<22>",12778,51242,51224.6,ns,,,,,
"mshift<22>",20916,33757.6,33738,ns,,,,,
"mshift_promoted<22>",20959,33442.8,33430.7,ns,,,,,
"new_algo<22>",13811,47728.5,47700.5,ns,,,,,
"built_in<23>",12728,51302.7,51283.2,ns,,,,,
"built_in_distance<23>",12722,52024.3,52003.9,ns,,,,,
"mshift<23>",20986,33463.4,33451.1,ns,,,,,
"mshift_promoted<23>",20691,33630.2,33617.9,ns,,,,,
