2019-12-09 09:47:08
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.03, 1.02, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",18552,37804.9,37664.4,ns,,,,,
"built_in<2>",18657,37170.6,37087,ns,,,,,
"built_in_distance<2>",18685,37267.1,37188,ns,,,,,
"mshift<2>",18782,37458.8,37340.5,ns,,,,,
"mshift_promoted<2>",19146,37355.7,37228,ns,,,,,
"mcomp<2>",18820,37125.2,37056.5,ns,,,,,
"mcomp_promoted<2>",18554,38412.2,38383.6,ns,,,,,
"built_in<3>",11201,61658.1,61635,ns,,,,,
"built_in_distance<3>",11309,61151.2,61130.5,ns,,,,,
"mshift<3>",13587,50605.1,50587.6,ns,,,,,
"mshift_promoted<3>",13687,50937,50920,ns,,,,,
"mcomp<3>",13742,50417.9,50400.8,ns,,,,,
"mcomp_promoted<3>",13660,50535,50517.4,ns,,,,,
"new_algo<3>",10254,67126.6,67103.4,ns,,,,,
"built_in<4>",18303,38168.5,38154.9,ns,,,,,
"built_in_distance<4>",18441,37767.3,37754.5,ns,,,,,
"mshift<4>",18384,37931.7,37918,ns,,,,,
"mshift_promoted<4>",18290,38537.7,38519.9,ns,,,,,
"mcomp<4>",13463,50303.8,50286.3,ns,,,,,
"mcomp_promoted<4>",13578,50363.4,50346.3,ns,,,,,
"built_in<5>",11344,61357.4,61336.2,ns,,,,,
"built_in_distance<5>",11347,61674.7,61653.2,ns,,,,,
"mshift<5>",13772,50268.5,50251.8,ns,,,,,
"mshift_promoted<5>",13675,50512,50495.4,ns,,,,,
"mcomp<5>",13520,50963.3,50945.5,ns,,,,,
"mcomp_promoted<5>",13718,50551.2,50534.5,ns,,,,,
"new_algo<5>",10323,66878.8,66856.1,ns,,,,,
"built_in<6>",10140,68211.5,68188.6,ns,,,,,
"built_in_distance<6>",10584,65423.2,65402.1,ns,,,,,
"mshift<6>",13515,50684.6,50667.4,ns,,,,,
"mshift_promoted<6>",13635,50602,50583.9,ns,,,,,
"mcomp<6>",13587,50674,50657.3,ns,,,,,
"mcomp_promoted<6>",13700,50497.4,50479.5,ns,,,,,
"new_algo<6>",11018,61251.4,61231.1,ns,,,,,
"built_in<7>",8027,85402.2,85373.2,ns,,,,,
"built_in_distance<7>",7941,84917.5,84889.6,ns,,,,,
"mshift<7>",13826,50542.4,50525.7,ns,,,,,
"mshift_promoted<7>",13720,50548.5,50530.1,ns,,,,,
"mcomp<7>",13800,50384.6,50367.9,ns,,,,,
"mcomp_promoted<7>",13734,50549.9,50532.6,ns,,,,,
"new_algo<7>",11328,61077.1,61057.2,ns,,,,,
"built_in<8>",18443,37886.4,37873.6,ns,,,,,
"built_in_distance<8>",18342,38100.7,38087,ns,,,,,
"mshift<8>",18448,37919.1,37906.3,ns,,,,,
"mshift_promoted<8>",18447,37903.6,37890.5,ns,,,,,
"mcomp<8>",13750,50466.3,50449.1,ns,,,,,
"mcomp_promoted<8>",13796,50553.6,50536.2,ns,,,,,
"built_in<9>",11035,61617.7,61597.4,ns,,,,,
"built_in_distance<9>",11263,61322.3,61300.8,ns,,,,,
"mshift<9>",13115,50757.6,50741,ns,,,,,
