2019-12-08 14:40:43
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20473,33502.3,33439.8,ns,,,,,
"built_in<1>",19028,37056.2,36967,ns,,,,,
"built_in_distance<1>",9753,71711.4,71686.6,ns,,,,,
"mshift<1>",19145,37105.5,37092.8,ns,,,,,
"mshift_promoted<1>",18572,37372.2,37359.3,ns,,,,,
"mcomp<1>",19091,36926.4,36913.8,ns,,,,,
"mcomp_promoted<1>",18467,37122.6,37110.3,ns,,,,,
"built_in<2>",13158,51109.8,51085.9,ns,,,,,
"built_in_distance<2>",13535,50657.6,50639.8,ns,,,,,
"mshift<2>",8861,77426.3,77398.8,ns,,,,,
"mshift_promoted<2>",9487,71494.9,71469.9,ns,,,,,
"mcomp<2>",9642,70921.3,70896.9,ns,,,,,
"mcomp_promoted<2>",9556,71491.4,71466.7,ns,,,,,
"built_in<3>",9044,75036.8,75011.1,ns,,,,,
"built_in_distance<3>",9124,74380.2,74355.6,ns,,,,,
"mshift<3>",7432,90662.3,90630,ns,,,,,
"mshift_promoted<3>",7235,94717.3,94684.5,ns,,,,,
"mcomp<3>",8731,76142.6,76116.2,ns,,,,,
"mcomp_promoted<3>",8406,80154.3,80126.8,ns,,,,,
"new_algo<3>",7545,92772.9,92740.1,ns,,,,,
"built_in<4>",13145,50679.4,50661.2,ns,,,,,
"built_in_distance<4>",13677,50866.6,50848.2,ns,,,,,
"mshift<4>",9654,70256.5,70232.6,ns,,,,,
"mshift_promoted<4>",9619,70477.1,70452.4,ns,,,,,
"mcomp<4>",9900,70161.8,70137.4,ns,,,,,
"mcomp_promoted<4>",9743,71333.4,71308.3,ns,,,,,
"built_in<5>",9214,74900.4,74874.9,ns,,,,,
"built_in_distance<5>",9467,74181.4,74156.2,ns,,,,,
"mshift<5>",7479,91033.5,91002.7,ns,,,,,
"mshift_promoted<5>",7472,94144.9,94111.7,ns,,,,,
"mcomp<5>",8938,76780.9,76755.3,ns,,,,,
"mcomp_promoted<5>",8768,80305.8,80278.4,ns,,,,,
"new_algo<5>",7277,92631.2,92597.7,ns,,,,,
"built_in<6>",8858,77252.1,77225.2,ns,,,,,
"built_in_distance<6>",8856,77483.1,77456.1,ns,,,,,
"mshift<6>",7556,91746.1,91712.9,ns,,,,,
"mshift_promoted<6>",7416,91845,91811.3,ns,,,,,
"mcomp<6>",8783,76191.9,76165.5,ns,,,,,
"mcomp_promoted<6>",8765,77332.2,77305.1,ns,,,,,
"new_algo<6>",7588,93343,93311.8,ns,,,,,
"built_in<7>",7152,97303,97270.9,ns,,,,,
"built_in_distance<7>",6917,97555.2,97521.3,ns,,,,,
"mshift<7>",7707,90778.1,90743.6,ns,,,,,
"mshift_promoted<7>",7207,94031.4,93998.9,ns,,,,,
"mcomp<7>",8829,76619.7,76594.3,ns,,,,,
"mcomp_promoted<7>",8478,80180.1,80151.7,ns,,,,,
"new_algo<7>",7326,93146.9,93112.5,ns,,,,,
"built_in<8>",13186,51314.1,51296,ns,,,,,
"built_in_distance<8>",13444,50519.3,50502.5,ns,,,,,
"mshift<8>",9734,70027.5,70003.4,ns,,,,,
"mshift_promoted<8>",9511,71197.7,71173.6,ns,,,,,
"mcomp<8>",9695,70136.7,70111.9,ns,,,,,
"mcomp_promoted<8>",9689,71505.6,71481.5,ns,,,,,
"built_in<9>",9052,74034.3,74008.6,ns,,,,,
"built_in_distance<9>",9112,73539.4,73514.2,ns,,,,,
"mshift<9>",7559,91141.7,91110.3,ns,,,,,
"mshift_promoted<9>",7234,93498.7,93466.4,ns,,,,,
"mcomp<9>",8861,76374.4,76347.2,ns,,,,,
"mcomp_promoted<9>",8294,80968.7,80940.7,ns,,,,,
"new_algo<9>",7475,92462.8,92430.7,ns,,,,,
"built_in<10>",8670,78043.4,78017.4,ns,,,,,
"built_in_distance<10>",8842,77933.3,77906.8,ns,,,,,
"mshift<10>",7442,90235.9,90204.2,ns,,,,,
"mshift_promoted<10>",7503,91351.4,91319.2,ns,,,,,
"mcomp<10>",8965,75654.1,75628.7,ns,,,,,
"mcomp_promoted<10>",9296,75516.6,75491.2,ns,,,,,
"new_algo<10>",7009,99915.2,99880.8,ns,,,,,
"built_in<11>",9072,75729.1,75702,ns,,,,,
"built_in_distance<11>",8973,76215.3,76189.3,ns,,,,,
"mshift<11>",7573,91298.7,91268.1,ns,,,,,
"mshift_promoted<11>",7210,93851.6,93818.1,ns,,,,,
"mcomp<11>",8874,76779.5,76754,ns,,,,,
"mcomp_promoted<11>",8363,81723.6,81695.6,ns,,,,,
"new_algo<11>",7324,93957.6,93926.9,ns,,,,,
"built_in<12>",9000,77804.7,77777.1,ns,,,,,
"built_in_distance<12>",8940,76679.9,76653.9,ns,,,,,
"mshift<12>",7454,91754.6,91723.3,ns,,,,,
"mshift_promoted<12>",7565,92185.7,92151.8,ns,,,,,
"mcomp<12>",8855,77042.6,77016.5,ns,,,,,
"mcomp_promoted<12>",8946,74933.7,74908.2,ns,,,,,
"new_algo<12>",7288,92733.6,92701.6,ns,,,,,
"built_in<13>",8822,75814.3,75787,ns,,,,,
"built_in_distance<13>",9158,76444.3,76417.3,ns,,,,,
"mshift<13>",7657,90862.5,90830.4,ns,,,,,
"mshift_promoted<13>",7484,94493.9,94461.7,ns,,,,,
"mcomp<13>",8824,77464.2,77437.4,ns,,,,,
"mcomp_promoted<13>",8382,80028.8,80001.6,ns,,,,,
"new_algo<13>",6599,104684,104647,ns,,,,,
"built_in<14>",8385,84467.2,84437,ns,,,,,
"built_in_distance<14>",8348,82757.9,82729.5,ns,,,,,
"mshift<14>",7679,90549,90516.8,ns,,,,,
"mshift_promoted<14>",7359,91542.5,91511.7,ns,,,,,
"mcomp<14>",8931,76992.5,76964.6,ns,,,,,
"mcomp_promoted<14>",8460,81223.6,81192.8,ns,,,,,
"new_algo<14>",7450,93227,93193.3,ns,,,,,
"built_in<15>",8130,83013.8,82985.1,ns,,,,,
"built_in_distance<15>",8450,83007.2,82978.2,ns,,,,,
"mshift<15>",7560,90825.8,90793.2,ns,,,,,
"mshift_promoted<15>",7382,94205.7,94170.2,ns,,,,,
"mcomp<15>",9202,76415,76387.8,ns,,,,,
"mcomp_promoted<15>",8436,80317.6,80289.6,ns,,,,,
"new_algo<15>",7378,92041.2,92008.7,ns,,,,,
"built_in<16>",13202,50758.8,50741.1,ns,,,,,
"built_in_distance<16>",13321,50438.5,50418.7,ns,,,,,
"mshift<16>",9602,70643.1,70616.9,ns,,,,,
"mshift_promoted<16>",9449,71619.8,71592,ns,,,,,
"mcomp<16>",9659,70243.3,70219.2,ns,,,,,
"mcomp_promoted<16>",9684,71269.9,71241.7,ns,,,,,
"built_in<17>",8188,83709.3,83674.6,ns,,,,,
"built_in_distance<17>",8407,83196.2,83153.9,ns,,,,,
"mshift<17>",7737,91932.4,91899.7,ns,,,,,
"mshift_promoted<17>",7190,94145.5,94112,ns,,,,,
"mcomp<17>",8701,76717.7,76688.1,ns,,,,,
"mcomp_promoted<17>",8436,81242.8,81210.2,ns,,,,,
"new_algo<17>",7326,92775.7,92739.6,ns,,,,,
"built_in<18>",8852,77293.1,77265.6,ns,,,,,
"built_in_distance<18>",8922,76778.8,76748.8,ns,,,,,
"mshift<18>",7523,91481.1,91445.9,ns,,,,,
