2019-07-16 03:18:20
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.25, 1.07, 1.02
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",21910,31728.8,31715.4,ns,,,,,
"built_in<1>",18604,38297.6,38282.7,ns,,,,,
"built_in_distance<1>",18943,38624.7,38608.4,ns,,,,,
"mshift<1>",18641,37890.9,37876.4,ns,,,,,
"mshift_promoted<1>",18418,37763.2,37748.7,ns,,,,,
"built_in<2>",15526,44384.7,44363,ns,,,,,
"built_in_distance<2>",15758,43622.5,43605.3,ns,,,,,
"mshift<2>",9827,68510.3,68485.1,ns,,,,,
"mshift_promoted<2>",9750,70597.8,70565.5,ns,,,,,
"built_in<3>",9640,73513.5,73482.7,ns,,,,,
"built_in_distance<3>",9638,72538.7,72511,ns,,,,,
"mshift<3>",7045,95904.9,95867.7,ns,,,,,
"mshift_promoted<3>",7071,95515.2,95478.5,ns,,,,,
"new_algo<3>",6608,101980,101940,ns,,,,,
"built_in<4>",15943,44738,44720.2,ns,,,,,
"built_in_distance<4>",15663,43968.4,43951.2,ns,,,,,
"mshift<4>",9797,69132.3,69106.6,ns,,,,,
"mshift_promoted<4>",9990,70314.4,70285,ns,,,,,
"built_in<5>",9606,72617,72588.2,ns,,,,,
"built_in_distance<5>",9606,72008.5,71981,ns,,,,,
"mshift<5>",7049,96359.3,96320.6,ns,,,,,
"mshift_promoted<5>",7096,95299,95264,ns,,,,,
"new_algo<5>",6853,103301,103261,ns,,,,,
"built_in<6>",8802,78468.2,78436.1,ns,,,,,
"built_in_distance<6>",9054,76149.4,76120.5,ns,,,,,
"mshift<6>",7185,94344.2,94307,ns,,,,,
"mshift_promoted<6>",7184,96737.9,96698.5,ns,,,,,
"new_algo<6>",7137,97363.5,97318.9,ns,,,,,
"built_in<7>",7118,99253.7,99214.9,ns,,,,,
"built_in_distance<7>",7170,97542.1,97505.5,ns,,,,,
"mshift<7>",7044,96233.1,96193.4,ns,,,,,
"mshift_promoted<7>",7060,97126.2,97087,ns,,,,,
"new_algo<7>",7197,97199,97159.6,ns,,,,,
"built_in<8>",15902,44167,44149.7,ns,,,,,
"built_in_distance<8>",15687,44032,44014.1,ns,,,,,
"mshift<8>",9677,70730.5,70700.8,ns,,,,,
"mshift_promoted<8>",9853,70108.3,70073.4,ns,,,,,
"built_in<9>",9354,73163.3,73134.4,ns,,,,,
"built_in_distance<9>",9336,71644.7,71617.5,ns,,,,,
"mshift<9>",7119,96347.9,96308.1,ns,,,,,
"mshift_promoted<9>",7403,97607.2,97567.9,ns,,,,,
"new_algo<9>",6314,113062,113017,ns,,,,,
"built_in<10>",8745,77265.7,77236.8,ns,,,,,
"built_in_distance<10>",8663,75696.2,75667.2,ns,,,,,
"mshift<10>",7038,96572.9,96532.2,ns,,,,,
"mshift_promoted<10>",7343,97027.2,96987,ns,,,,,
"new_algo<10>",6054,112846,112802,ns,,,,,
"built_in<11>",9125,76464.9,76435.7,ns,,,,,
"built_in_distance<11>",9001,78221.5,78189.1,ns,,,,,
"mshift<11>",7122,95298.6,95260.4,ns,,,,,
"mshift_promoted<11>",7429,95530.9,95494.2,ns,,,,,
"new_algo<11>",6318,113289,113245,ns,,,,,
"built_in<12>",8734,76383.3,76353.2,ns,,,,,
"built_in_distance<12>",8723,76909.7,76880.5,ns,,,,,
"mshift<12>",7069,97039.4,97001.4,ns,,,,,
"mshift_promoted<12>",7242,96585.7,96544.8,ns,,,,,
"new_algo<12>",7093,96547.2,96511.5,ns,,,,,
"built_in<13>",8809,75098.4,75069.3,ns,,,,,
"built_in_distance<13>",9189,75751.7,75722.5,ns,,,,,
"mshift<13>",7232,97228.2,97187.9,ns,,,,,
"mshift_promoted<13>",7341,95839.9,95803.1,ns,,,,,
"new_algo<13>",6027,111756,111716,ns,,,,,
"built_in<14>",7346,92298.2,92263.5,ns,,,,,
"built_in_distance<14>",7588,93169,93131.4,ns,,,,,
"mshift<14>",7097,97277.3,97238.8,ns,,,,,
"mshift_promoted<14>",7414,95908.1,95870,ns,,,,,
"new_algo<14>",7213,96720.3,96683.9,ns,,,,,
