2019-07-15 02:41:01
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20279,33577.9,33566.1,ns,,,,,
"built_in<2>",20625,33726.5,33715.1,ns,,,,,
"built_in_distance<2>",20715,33751.7,33740.2,ns,,,,,
"mshift<2>",20744,33460.6,33449.2,ns,,,,,
"mshift_promoted<2>",20876,33926.8,33914.4,ns,,,,,
"built_in<3>",13563,50598.2,50580.6,ns,,,,,
"built_in_distance<3>",12815,51541,51522.6,ns,,,,,
"mshift<3>",20878,33988.9,33972.1,ns,,,,,
"mshift_promoted<3>",20561,33621.6,33609.2,ns,,,,,
"new_algo<3>",14388,48035,48016.1,ns,,,,,
"built_in<4>",25203,27058.2,27048.7,ns,,,,,
"built_in_distance<4>",25257,27215.8,27206.5,ns,,,,,
"mshift<4>",20711,33347.4,33335.1,ns,,,,,
"mshift_promoted<4>",26030,26927.5,26918,ns,,,,,
"built_in<5>",12172,56639.2,56619.1,ns,,,,,
"built_in_distance<5>",11605,56441.9,56421.9,ns,,,,,
"mshift<5>",21033,33350.7,33338.8,ns,,,,,
"mshift_promoted<5>",20518,33780.1,33768,ns,,,,,
"new_algo<5>",14644,47968.1,47951.6,ns,,,,,
"built_in<6>",10646,64985.1,64962.1,ns,,,,,
"built_in_distance<6>",10227,64105.4,64082.2,ns,,,,,
"mshift<6>",20336,33705.6,33693.2,ns,,,,,
"mshift_promoted<6>",20788,33344.5,33332.9,ns,,,,,
"new_algo<6>",13721,48783.3,48765.4,ns,,,,,
"built_in<7>",8720,78301.2,78273.9,ns,,,,,
"built_in_distance<7>",8664,79084.4,79057.3,ns,,,,,
"mshift<7>",20524,33311.1,33299.9,ns,,,,,
"mshift_promoted<7>",20821,33557.3,33545.1,ns,,,,,
"new_algo<7>",13693,48262.5,48245.5,ns,,,,,
"built_in<8>",21141,33465.8,33454.2,ns,,,,,
"built_in_distance<8>",20989,33566.1,33555,ns,,,,,
"mshift<8>",20828,33398.1,33386.9,ns,,,,,
"mshift_promoted<8>",20975,33769.3,33756.3,ns,,,,,
"built_in<9>",12876,51405.6,51386.9,ns,,,,,
"built_in_distance<9>",10478,63413.1,63389.7,ns,,,,,
"mshift<9>",21036,33202.9,33191.5,ns,,,,,
"mshift_promoted<9>",20913,33909.8,33897.4,ns,,,,,
"new_algo<9>",14539,48248.8,48233,ns,,,,,
"built_in<10>",10550,65008.9,64985.4,ns,,,,,
"built_in_distance<10>",10264,63948,63925.6,ns,,,,,
"mshift<10>",21030,33505,33493.3,ns,,,,,
"mshift_promoted<10>",20580,33323.5,33312,ns,,,,,
"new_algo<10>",12423,54362.5,54342.7,ns,,,,,
"built_in<11>",11592,56805.2,56785,ns,,,,,
"built_in_distance<11>",11607,56555.6,56535.6,ns,,,,,
"mshift<11>",20718,33605.8,33593.9,ns,,,,,
"mshift_promoted<11>",20943,33276,33264.8,ns,,,,,
"new_algo<11>",13736,48387.9,48369.7,ns,,,,,
"built_in<12>",10626,64283,64260,ns,,,,,
"built_in_distance<12>",10262,64162.7,64140,ns,,,,,
"mshift<12>",20459,33358.1,33346.3,ns,,,,,
"mshift_promoted<12>",20780,34024.3,34011.6,ns,,,,,
"new_algo<12>",14489,47897.5,47881.2,ns,,,,,
"built_in<13>",12035,56998.9,56978.4,ns,,,,,
"built_in_distance<13>",12246,56420.9,56401.4,ns,,,,,
"mshift<13>",20824,33329,33317.5,ns,,,,,
"mshift_promoted<13>",20380,33963.6,33951.5,ns,,,,,
"new_algo<13>",11485,59446.6,59425.7,ns,,,,,
"built_in<14>",11249,59515.6,59494.5,ns,,,,,
"built_in_distance<14>",11624,58828.6,58808.1,ns,,,,,
"mshift<14>",20957,33317.8,33305.8,ns,,,,,
"mshift_promoted<14>",20894,33477.7,33465.9,ns,,,,,
"new_algo<14>",13903,48225.7,48208.2,ns,,,,,
"built_in<15>",10159,68754.3,68730.8,ns,,,,,
"built_in_distance<15>",10061,68312.5,68289,ns,,,,,
"mshift<15>",20872,33304.1,33292.2,ns,,,,,
"mshift_promoted<15>",20903,33417.5,33406.6,ns,,,,,
"new_algo<15>",13796,47926.6,47909.8,ns,,,,,
"built_in<16>",26048,26946.4,26936.8,ns,,,,,
"built_in_distance<16>",25758,27179.9,27170.1,ns,,,,,
"mshift<16>",21030,33453.8,33442.4,ns,,,,,
"mshift_promoted<16>",25679,27121.5,27111.7,ns,,,,,
"built_in<17>",10181,68035.6,68012,ns,,,,,
"built_in_distance<17>",9680,68518.9,68493.2,ns,,,,,
"mshift<17>",20785,33636.5,33624.5,ns,,,,,
"mshift_promoted<17>",20595,33532,33520.4,ns,,,,,
"new_algo<17>",13702,47921,47904.3,ns,,,,,
"built_in<18>",10598,64606.8,64581.4,ns,,,,,
"built_in_distance<18>",10643,64807.2,64783.9,ns,,,,,
"mshift<18>",21054,33350.8,33339,ns,,,,,
"mshift_promoted<18>",20629,33738.4,33726.6,ns,,,,,
"new_algo<18>",13802,47830.6,47814.3,ns,,,,,
"built_in<19>",9310,74555.4,74527.1,ns,,,,,
"built_in_distance<19>",9375,74394.5,74368.2,ns,,,,,
"mshift<19>",20988,33328.6,33316.9,ns,,,,,
"mshift_promoted<19>",20617,33444.2,33432.7,ns,,,,,
"new_algo<19>",12656,53688.2,53669.3,ns,,,,,
"built_in<20>",10793,65338.1,65313.7,ns,,,,,
"built_in_distance<20>",10768,64206.8,64184.3,ns,,,,,
"mshift<20>",20664,33471.3,33460,ns,,,,,
"mshift_promoted<20>",20904,33429.1,33417.8,ns,,,,,
"new_algo<20>",11173,60391.1,60368.8,ns,,,,,
"built_in<21>",9018,73898.4,73873.3,ns,,,,,
"built_in_distance<21>",9134,73964.5,73939.1,ns,,,,,
"mshift<21>",20884,33297.1,33285.7,ns,,,,,
"mshift_promoted<21>",20957,33385,33373.4,ns,,,,,
"new_algo<21>",13808,48358.6,48341.6,ns,,,,,
"built_in<22>",13478,51438.4,51421.1,ns,,,,,
"built_in_distance<22>",13069,52010.7,51992.5,ns,,,,,
"mshift<22>",20857,33294.6,33283.1,ns,,,,,
"mshift_promoted<22>",21029,33767.9,33755.5,ns,,,,,
"new_algo<22>",13798,48498.9,48481.8,ns,,,,,
"built_in<23>",13018,52228.4,52210.3,ns,,,,,
"built_in_distance<23>",12989,51752.8,51735,ns,,,,,
"mshift<23>",21036,33233.4,33222.1,ns,,,,,
"mshift_promoted<23>",20380,33936,33923.9,ns,,,,,
"new_algo<23>",12347,54371.9,54351.9,ns,,,,,
"built_in<24>",10648,64812.7,64790.6,ns,,,,,
"built_in_distance<24>",10476,64703.2,64682.1,ns,,,,,
"mshift<24>",21026,33309.1,33297.6,ns,,,,,
"mshift_promoted<24>",20903,33667.6,33656,ns,,,,,
"new_algo<24>",11418,58183,58162.5,ns,,,,,
"built_in<25>",11874,57710.2,57690.6,ns,,,,,
"built_in_distance<25>",11893,58129.7,58108.1,ns,,,,,
"mshift<25>",21014,33827.9,33815.3,ns,,,,,
"mshift_promoted<25>",20751,33846,33834.4,ns,,,,,
"new_algo<25>",12149,54224.8,54205.2,ns,,,,,
"built_in<26>",13447,52160.7,52142.3,ns,,,,,
"built_in_distance<26>",13072,51579.4,51560.8,ns,,,,,
"mshift<26>",21040,33505.4,33493.4,ns,,,,,
"mshift_promoted<26>",20775,33338,33326.1,ns,,,,,
"new_algo<26>",11494,58472.3,58452.3,ns,,,,,
"built_in<27>",9070,74394.2,74367.8,ns,,,,,
"built_in_distance<27>",9295,73518.1,73492.2,ns,,,,,
"mshift<27>",20772,33652.2,33640.2,ns,,,,,
"mshift_promoted<27>",20884,33565.4,33553.5,ns,,,,,
"new_algo<27>",12450,53878.4,53859.2,ns,,,,,
"built_in<28>",13357,51824.2,51805.9,ns,,,,,
"built_in_distance<28>",12977,51680.4,51661.5,ns,,,,,
"mshift<28>",20827,33726.7,33714.8,ns,,,,,
"mshift_promoted<28>",20460,33846.6,33834.3,ns,,,,,
"new_algo<28>",13906,48216.6,48200.1,ns,,,,,
"built_in<29>",12888,51621.3,51602.6,ns,,,,,
"built_in_distance<29>",12710,51900.8,51882.5,ns,,,,,
"mshift<29>",20556,33249.5,33238.2,ns,,,,,
"mshift_promoted<29>",20892,33492.1,33480.6,ns,,,,,
"new_algo<29>",12408,53720,53701.5,ns,,,,,
"built_in<30>",13211,51705.1,51686.4,ns,,,,,
"built_in_distance<30>",12761,52030.8,52012.4,ns,,,,,
"mshift<30>",20840,33850.1,33838.3,ns,,,,,
"mshift_promoted<30>",20804,33864.3,33851.6,ns,,,,,
"new_algo<30>",7277,93569,93533.9,ns,,,,,
"built_in<31>",8247,82123.2,82094.1,ns,,,,,
"built_in_distance<31>",8522,82091.7,82061.5,ns,,,,,
"mshift<31>",21105,33792.9,33781.3,ns,,,,,
"mshift_promoted<31>",20942,33424.8,33413.7,ns,,,,,
"new_algo<31>",13737,48123,48106.1,ns,,,,,
"built_in<32>",20930,33599.9,33588.4,ns,,,,,
"built_in_distance<32>",21055,33588.1,33576.6,ns,,,,,
"mshift<32>",20847,33567.9,33556.1,ns,,,,,
"mshift_promoted<32>",20760,33650.6,33638.4,ns,,,,,
"built_in<33>",9914,68517.6,68493.2,ns,,,,,
"built_in_distance<33>",9958,68918.7,68894.8,ns,,,,,
"mshift<33>",20796,33550.4,33538.6,ns,,,,,
"mshift_promoted<33>",20862,33728,33716.2,ns,,,,,
"new_algo<33>",13875,48589.8,48571.9,ns,,,,,
"built_in<34>",12857,51761.5,51744,ns,,,,,
"built_in_distance<34>",13117,51695.4,51676.9,ns,,,,,
"mshift<34>",20848,33262.4,33250.7,ns,,,,,
"mshift_promoted<34>",20507,34066.5,34054.4,ns,,,,,
"new_algo<34>",12431,53637.4,53618.6,ns,,,,,
"built_in<35>",8786,77515.3,77488.2,ns,,,,,
"built_in_distance<35>",8595,78469.6,78441.9,ns,,,,,
"mshift<35>",20990,33563,33550.8,ns,,,,,
"mshift_promoted<35>",21110,33854,33842.1,ns,,,,,
"new_algo<35>",11263,59530.7,59510,ns,,,,,
"built_in<36>",10601,65673.9,65651.1,ns,,,,,
"built_in_distance<36>",10847,63908.8,63886.2,ns,,,,,
"mshift<36>",20717,33285.7,33273.7,ns,,,,,
"mshift_promoted<36>",20925,33698.9,33687,ns,,,,,
"new_algo<36>",14585,47848.8,47831.9,ns,,,,,
"built_in<37>",9017,73617.9,73592,ns,,,,,
"built_in_distance<37>",9092,73580.3,73555.3,ns,,,,,
"mshift<37>",20818,33611.6,33600,ns,,,,,
"mshift_promoted<37>",20808,33644.8,33632.7,ns,,,,,
"built_in<38>",11382,59491.9,59470,ns,,,,,
"built_in_distance<38>",11618,58617,58595.3,ns,,,,,
"mshift<38>",20763,33551.4,33538.7,ns,,,,,
"mshift_promoted<38>",21075,33637.7,33625.2,ns,,,,,
"new_algo<38>",11448,59465.8,59444.5,ns,,,,,
"built_in<39>",8739,78339.8,78311.8,ns,,,,,
"built_in_distance<39>",8959,78452,78424.3,ns,,,,,
"mshift<39>",20976,33231.6,33220.2,ns,,,,,
"mshift_promoted<39>",20857,33919.3,33907.5,ns,,,,,
"new_algo<39>",12804,53851.6,53832.9,ns,,,,,
"built_in<40>",10688,64876.5,64852.5,ns,,,,,
"built_in_distance<40>",10265,64485,64463,ns,,,,,
"mshift<40>",21026,33346.9,33335.6,ns,,,,,
"mshift_promoted<40>",20807,33633,33621.3,ns,,,,,
"new_algo<40>",11101,58872.3,58852.3,ns,,,,,
"built_in<41>",11601,56596.6,56576.5,ns,,,,,
"built_in_distance<41>",11947,56954.9,56933.9,ns,,,,,
"mshift<41>",20991,33484,33472,ns,,,,,
"mshift_promoted<41>",20778,33539,33527.1,ns,,,,,
"new_algo<41>",12394,54628.4,54607.5,ns,,,,,
"built_in<42>",11614,58960.6,58940.8,ns,,,,,
"built_in_distance<42>",11623,58590.7,58570,ns,,,,,
"mshift<42>",20731,33307.2,33295.3,ns,,,,,
"mshift_promoted<42>",20340,33497.1,33485,ns,,,,,
"new_algo<42>",13876,48204,48186.6,ns,,,,,
"built_in<43>",13024,52339.2,52319.2,ns,,,,,
"built_in_distance<43>",13194,51580.9,51563,ns,,,,,
"mshift<43>",20805,33284,33272.4,ns,,,,,
"mshift_promoted<43>",20610,33606.4,33594,ns,,,,,
"new_algo<43>",12703,53790.5,53772.6,ns,,,,,
"built_in<44>",12706,51661.1,51642.7,ns,,,,,
"built_in_distance<44>",12912,52122.8,52104.6,ns,,,,,
"mshift<44>",20701,33471.9,33459.8,ns,,,,,
"mshift_promoted<44>",20951,33389,33377.1,ns,,,,,
"new_algo<44>",13844,48183.9,48165.8,ns,,,,,
"built_in<45>",8971,77768.9,77740.1,ns,,,,,
"built_in_distance<45>",8637,77949.6,77922.9,ns,,,,,
"mshift<45>",21053,33340.7,33328.8,ns,,,,,
"mshift_promoted<45>",20858,33628.3,33616.5,ns,,,,,
"new_algo<45>",12392,53599.9,53582,ns,,,,,
"built_in<46>",12941,52670.5,52651.8,ns,,,,,
"built_in_distance<46>",12858,51883.4,51864.2,ns,,,,,
"mshift<46>",21104,33690.8,33678.4,ns,,,,,
"mshift_promoted<46>",20830,33712.2,33699.8,ns,,,,,
"new_algo<46>",11479,58946,58925.4,ns,,,,,
"built_in<47>",13119,52315,52296.5,ns,,,,,
"built_in_distance<47>",12738,51556.9,51538.7,ns,,,,,
"mshift<47>",20775,33509,33497.1,ns,,,,,
"mshift_promoted<47>",20054,33320.8,33309.1,ns,,,,,
"new_algo<47>",12260,54210.9,54191.7,ns,,,,,
"built_in<48>",10641,64895.3,64872.4,ns,,,,,
"built_in_distance<48>",10542,64586.3,64563.3,ns,,,,,
"mshift<48>",20941,33281.4,33269.9,ns,,,,,
"mshift_promoted<48>",20885,33437.3,33425.5,ns,,,,,
"new_algo<48>",11304,59596.2,59576.2,ns,,,,,
"built_in<49>",12719,51584.5,51565.9,ns,,,,,
"built_in_distance<49>",12983,52104.6,52085.4,ns,,,,,
"mshift<49>",21144,33574.3,33561.8,ns,,,,,
"mshift_promoted<49>",20907,33938,33925.8,ns,,,,,
"new_algo<49>",12313,54186.9,54168.6,ns,,,,,
"built_in<50>",13066,52007.8,51990.2,ns,,,,,
