2019-12-08 04:34:28
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20386,33491.1,33479.5,ns,,,,,
"built_in<1>",18829,36668.8,36656.4,ns,,,,,
"built_in_distance<1>",11602,59628.5,59609.3,ns,,,,,
"mshift<1>",19120,36542.3,36529.8,ns,,,,,
"mshift_promoted<1>",19791,35732.3,35720.4,ns,,,,,
"mcomp<1>",19235,35964.6,35952.5,ns,,,,,
"mcomp_promoted<1>",19179,36806.4,36793.9,ns,,,,,
"built_in<2>",13093,50801.7,50776.9,ns,,,,,
"built_in_distance<2>",13198,50719.8,50702.1,ns,,,,,
"mshift<2>",9597,70281.9,70258.1,ns,,,,,
"mshift_promoted<2>",10563,63819.4,63797.6,ns,,,,,
"mcomp<2>",10315,64264,64239.5,ns,,,,,
"mcomp_promoted<2>",10557,63525.9,63504.5,ns,,,,,
"built_in<3>",9092,73391.7,73366.3,ns,,,,,
"built_in_distance<3>",9243,74484.2,74458.2,ns,,,,,
"mshift<3>",7999,83634.5,83606.1,ns,,,,,
"mshift_promoted<3>",7701,86437.7,86409.2,ns,,,,,
"mcomp<3>",9539,68537.1,68514,ns,,,,,
"mcomp_promoted<3>",8829,74416.5,74390.2,ns,,,,,
"new_algo<3>",8154,83522.3,83493.7,ns,,,,,
"built_in<4>",13281,50163.7,50146.5,ns,,,,,
"built_in_distance<4>",13512,50061,50044.5,ns,,,,,
"mshift<4>",10860,64240.1,64218.2,ns,,,,,
"mshift_promoted<4>",10940,63440.8,63419.5,ns,,,,,
"mcomp<4>",10623,64496.7,64475,ns,,,,,
"mcomp_promoted<4>",10906,63472.9,63451.6,ns,,,,,
"built_in<5>",9388,73370.8,73346.2,ns,,,,,
"built_in_distance<5>",9246,73706.1,73680.8,ns,,,,,
"mshift<5>",8017,83618,83589.6,ns,,,,,
"mshift_promoted<5>",7825,85917.9,85886.1,ns,,,,,
"mcomp<5>",9436,71399.6,71375.2,ns,,,,,
"mcomp_promoted<5>",9139,73905.7,73880.5,ns,,,,,
"new_algo<5>",8076,85489,85461.4,ns,,,,,
"built_in<6>",9048,76884.9,76859.2,ns,,,,,
"built_in_distance<6>",8720,76927.5,76900.3,ns,,,,,
"mshift<6>",8117,83993.2,83961,ns,,,,,
"mshift_promoted<6>",7950,86396.4,86366.8,ns,,,,,
"mcomp<6>",10028,69088.9,69065.5,ns,,,,,
"mcomp_promoted<6>",9441,74043.6,74018.9,ns,,,,,
"new_algo<6>",7646,87700.1,87670.8,ns,,,,,
"built_in<7>",7096,97779.2,97745.6,ns,,,,,
"built_in_distance<7>",7193,97112,97080.1,ns,,,,,
"mshift<7>",8248,84112.8,84085.8,ns,,,,,
"mshift_promoted<7>",8089,85964.2,85931.4,ns,,,,,
"mcomp<7>",9692,70957.9,70933.5,ns,,,,,
"mcomp_promoted<7>",9422,73722.5,73697.6,ns,,,,,
"new_algo<7>",8045,86029,86000,ns,,,,,
"built_in<8>",13918,50231.6,50215.3,ns,,,,,
"built_in_distance<8>",13162,50096.8,50079.5,ns,,,,,
"mshift<8>",10907,63724,63702.4,ns,,,,,
"mshift_promoted<8>",10719,63666.3,63645.5,ns,,,,,
"mcomp<8>",10924,63909.4,63886.7,ns,,,,,
"mcomp_promoted<8>",10706,63620.9,63599.7,ns,,,,,
"built_in<9>",9532,73653,73627.2,ns,,,,,
"built_in_distance<9>",9505,73546.2,73521.6,ns,,,,,
"mshift<9>",8342,83947.1,83919,ns,,,,,
"mshift_promoted<9>",8153,85682.9,85654.1,ns,,,,,
"mcomp<9>",10107,68941.1,68917.7,ns,,,,,
"mcomp_promoted<9>",9405,74062.7,74037.8,ns,,,,,
"new_algo<9>",7888,87092.1,87063.3,ns,,,,,
"built_in<10>",9110,77478.1,77451.5,ns,,,,,
"built_in_distance<10>",9086,76960.7,76933.6,ns,,,,,
"mshift<10>",8244,84098.5,84070.2,ns,,,,,
"mshift_promoted<10>",8107,85203.2,85174.7,ns,,,,,
"mcomp<10>",10169,69134.4,69110,ns,,,,,
"mcomp_promoted<10>",9420,74002.3,73976.8,ns,,,,,
"new_algo<10>",7257,95297,95264.4,ns,,,,,
"built_in<11>",9283,75647.1,75621.5,ns,,,,,
"built_in_distance<11>",9264,75340.9,75316,ns,,,,,
"mshift<11>",8357,83743.6,83715.9,ns,,,,,
"mshift_promoted<11>",8078,85646.1,85617,ns,,,,,
"mcomp<11>",9972,69893.7,69870.4,ns,,,,,
"mcomp_promoted<11>",9105,74008.7,73984.5,ns,,,,,
"new_algo<11>",8188,84428.9,84401.9,ns,,,,,
"built_in<12>",9008,76701.8,76675.5,ns,,,,,
"built_in_distance<12>",9021,76673.2,76646.4,ns,,,,,
"mshift<12>",8171,83795.3,83765.8,ns,,,,,
"mshift_promoted<12>",8208,85383.6,85354.9,ns,,,,,
"mcomp<12>",9715,72613.7,72589.5,ns,,,,,
"mcomp_promoted<12>",9442,74058.7,74033.6,ns,,,,,
"new_algo<12>",7863,87634.3,87604.4,ns,,,,,
"built_in<13>",9222,75523.1,75496.8,ns,,,,,
"built_in_distance<13>",9044,75811,75785.5,ns,,,,,
"mshift<13>",8223,83677.8,83650,ns,,,,,
"mshift_promoted<13>",8173,85496.2,85466.2,ns,,,,,
"mcomp<13>",9813,71806.1,71780.5,ns,,,,,
"mcomp_promoted<13>",9479,73682.9,73657.5,ns,,,,,
"new_algo<13>",7337,94995.1,94963,ns,,,,,
"built_in<14>",8475,82889.6,82861.4,ns,,,,,
"built_in_distance<14>",8418,82735.6,82707.5,ns,,,,,
"mshift<14>",8330,83609.1,83579.8,ns,,,,,
"mshift_promoted<14>",8127,85264.8,85237.2,ns,,,,,
"mcomp<14>",9954,73021.1,72996.9,ns,,,,,
"mcomp_promoted<14>",9401,73989.1,73964.6,ns,,,,,
"new_algo<14>",7844,87742.6,87713.4,ns,,,,,
"built_in<15>",8505,82079,82050.5,ns,,,,,
"built_in_distance<15>",8331,82133.1,82105.6,ns,,,,,
"mshift<15>",8301,83963.8,83935,ns,,,,,
"mshift_promoted<15>",8050,85300.1,85271.9,ns,,,,,
"mcomp<15>",10135,68388.2,68364.6,ns,,,,,
