2019-12-08 05:46:23
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.00, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",20435,33626.6,33615.4,ns,,,,,
"built_in<1>",20962,33632.3,33620.1,ns,,,,,
"built_in_distance<1>",26080,27017.3,27008,ns,,,,,
"mshift<1>",20954,33483.8,33472.6,ns,,,,,
"mshift_promoted<1>",20670,33349.9,33338.6,ns,,,,,
"mcomp<1>",20536,33495.6,33484.4,ns,,,,,
"mcomp_promoted<1>",20658,33219.3,33208.3,ns,,,,,
"built_in<2>",20155,33347.3,33335.8,ns,,,,,
"built_in_distance<2>",20321,34522.7,34510.9,ns,,,,,
"mshift<2>",20908,33831.1,33819.1,ns,,,,,
"mshift_promoted<2>",20773,33336.1,33325,ns,,,,,
"mcomp<2>",20967,33760,33748.4,ns,,,,,
"mcomp_promoted<2>",20172,33426.5,33414.9,ns,,,,,
"built_in<3>",11398,60462,60441.8,ns,,,,,
"built_in_distance<3>",11346,60531.8,60511.9,ns,,,,,
"mshift<3>",18426,37139.6,37127.3,ns,,,,,
"mshift_promoted<3>",13796,50509.5,50492.6,ns,,,,,
"mcomp<3>",14104,52009.6,51992.5,ns,,,,,
"mcomp_promoted<3>",13766,50473.5,50456.7,ns,,,,,
"new_algo<3>",13810,50304.5,50287.8,ns,,,,,
"built_in<4>",20771,33565.9,33554.7,ns,,,,,
"built_in_distance<4>",20056,34691.5,34679.4,ns,,,,,
"mshift<4>",20995,33483.6,33472.5,ns,,,,,
"mshift_promoted<4>",20798,33614.4,33603.3,ns,,,,,
"mcomp<4>",18755,36889.1,36877,ns,,,,,
"mcomp_promoted<4>",13860,50592,50574.7,ns,,,,,
"built_in<5>",10984,60494.7,60474.9,ns,,,,,
"built_in_distance<5>",11263,60847.8,60827.2,ns,,,,,
"mshift<5>",18895,37137.3,37124.4,ns,,,,,
"mshift_promoted<5>",13826,50061.4,50044.5,ns,,,,,
"mcomp<5>",18446,37209.6,37196.9,ns,,,,,
"mcomp_promoted<5>",13879,49994.4,49975.5,ns,,,,,
"new_algo<5>",13868,50127.9,50110.8,ns,,,,,
"built_in<6>",10262,67541.6,67518.6,ns,,,,,
"built_in_distance<6>",10604,65347.5,65324.8,ns,,,,,
"mshift<6>",18716,37500.3,37487.5,ns,,,,,
"mshift_promoted<6>",13704,50067.8,50051.4,ns,,,,,
"mcomp<6>",18463,37458.8,37446,ns,,,,,
"mcomp_promoted<6>",13508,50307.7,50291,ns,,,,,
"new_algo<6>",13814,50490.4,50472.8,ns,,,,,
"built_in<7>",8202,85482,85452.9,ns,,,,,
"built_in_distance<7>",8230,85104.1,85074.9,ns,,,,,
"mshift<7>",18875,37054.9,37041.6,ns,,,,,
"mshift_promoted<7>",13732,50351.5,50333.9,ns,,,,,
"mcomp<7>",18950,37273.2,37260.1,ns,,,,,
"mcomp_promoted<7>",13656,50413.6,50396.6,ns,,,,,
"new_algo<7>",13776,50331,50313.8,ns,,,,,
"built_in<8>",20249,34463.5,34452.1,ns,,,,,
"built_in_distance<8>",20822,33703.9,33692.4,ns,,,,,
"mshift<8>",20860,33254.7,33244,ns,,,,,
"mshift_promoted<8>",20919,33363,33352,ns,,,,,
"mcomp<8>",18992,37076.6,37063.8,ns,,,,,
"mcomp_promoted<8>",13676,50386.3,50369.4,ns,,,,,
"built_in<9>",11403,60424.9,60404.6,ns,,,,,
"built_in_distance<9>",11472,60674.4,60654.1,ns,,,,,
"mshift<9>",18748,37334.4,37321.7,ns,,,,,
"mshift_promoted<9>",13666,50495.7,50478,ns,,,,,
"mcomp<9>",18748,37270.8,37257.9,ns,,,,,
"mcomp_promoted<9>",13658,50315.2,50298.6,ns,,,,,
"new_algo<9>",13804,50163.1,50146.5,ns,,,,,
"built_in<10>",10329,66480.5,66457.8,ns,,,,,
"built_in_distance<10>",9922,67799.5,67776.5,ns,,,,,
"mshift<10>",18647,37374.2,37361.7,ns,,,,,
"mshift_promoted<10>",13744,50462.5,50445.2,ns,,,,,
"mcomp<10>",18738,37340.7,37328,ns,,,,,
"mcomp_promoted<10>",13791,50213.4,50196.5,ns,,,,,
"new_algo<10>",10910,62062.7,62041.6,ns,,,,,
"built_in<11>",10875,64088.5,64066.3,ns,,,,,
"built_in_distance<11>",10711,64081.2,64059.8,ns,,,,,
"mshift<11>",18748,37073.4,37060.5,ns,,,,,
"mshift_promoted<11>",7362,94277.4,94243.5,ns,,,,,
"mcomp<11>",18678,37475.4,37462.6,ns,,,,,
"mcomp_promoted<11>",13755,50917.4,50900.2,ns,,,,,
"new_algo<11>",13268,50336.6,50320,ns,,,,,
"built_in<12>",9939,68538.8,68516.3,ns,,,,,
