2019-07-15 17:13:09
Running ./time_per_divisor
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",19911,33864.8,33853.3,ns,,,,,
"built_in<1>",20333,33837.3,33825,ns,,,,,
"built_in_distance<1>",20835,34178.7,34166.6,ns,,,,,
"mshift<1>",20751,33832.2,33820.1,ns,,,,,
"mshift_promoted<1>",20694,34384.7,34367,ns,,,,,
"built_in<2>",18939,36382.4,36369.5,ns,,,,,
"built_in_distance<2>",19076,37377.2,37359.2,ns,,,,,
"mshift<2>",13464,50734.7,50717.1,ns,,,,,
"mshift_promoted<2>",20688,33972.2,33959.7,ns,,,,,
"built_in<3>",10638,62152.4,62129.3,ns,,,,,
"built_in_distance<3>",11228,60599.8,60578.7,ns,,,,,
"mshift<3>",13769,50876.6,50858.6,ns,,,,,
"mshift_promoted<3>",13312,50444.5,50427,ns,,,,,
"new_algo<3>",9483,71452.3,71427.5,ns,,,,,
"built_in<4>",18942,36682.9,36669.8,ns,,,,,
"built_in_distance<4>",19077,36558.8,36546.1,ns,,,,,
"mshift<4>",18792,36803.9,36791.3,ns,,,,,
"mshift_promoted<4>",20212,34495.5,34482.6,ns,,,,,
"built_in<5>",11039,60400.8,60379,ns,,,,,
"built_in_distance<5>",11143,59898.9,59878.1,ns,,,,,
"mshift<5>",13639,51090.4,51071.1,ns,,,,,
"mshift_promoted<5>",13093,50673.2,50655.4,ns,,,,,
"new_algo<5>",9324,71540.8,71515.2,ns,,,,,
"built_in<6>",9558,72396.5,72370.4,ns,,,,,
"built_in_distance<6>",9359,73353,73327.2,ns,,,,,
"mshift<6>",13098,51132.6,51114.3,ns,,,,,
"mshift_promoted<6>",13745,50427.5,50409.3,ns,,,,,
"new_algo<6>",10302,65804.7,65781.5,ns,,,,,
"built_in<7>",7558,91670.4,91635.5,ns,,,,,
"built_in_distance<7>",7405,92429.3,92397,ns,,,,,
"mshift<7>",13098,51113.4,51093.6,ns,,,,,
"mshift_promoted<7>",13738,50496.9,50478.8,ns,,,,,
"new_algo<7>",10224,65360.7,65337.3,ns,,,,,
"built_in<8>",18974,36804,36789.9,ns,,,,,
"built_in_distance<8>",19015,36905.2,36892.3,ns,,,,,
"mshift<8>",19155,36707.1,36693.7,ns,,,,,
"mshift_promoted<8>",20656,34414.1,34401.9,ns,,,,,
"built_in<9>",11590,64092.8,64069.1,ns,,,,,
