2019-12-09 03:57:59
Running ./time
Run on (16 X 3600 MHz CPU s)
CPU Caches:
  L1 Data 32K (x8)
  L1 Instruction 64K (x8)
  L2 Unified 512K (x8)
  L3 Unified 8192K (x2)
Load Average: 1.00, 1.01, 1.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Noop",18218,37590.2,37575.5,ns,,,,,
"built_in<1>",13564,50836.5,50816.2,ns,,,,,
"built_in_distance<1>",13380,51046.1,51024.7,ns,,,,,
"mshift<1>",13690,51246.8,51228.1,ns,,,,,
"mshift_promoted<1>",18006,39155.8,39140.8,ns,,,,,
"mcomp<1>",8689,77078.1,77050.9,ns,,,,,
"mcomp_promoted<1>",17800,38965.3,38951.1,ns,,,,,
"built_in<2>",13587,51112.2,51091.9,ns,,,,,
"built_in_distance<2>",13552,51400.5,51365.4,ns,,,,,
"mshift<2>",10137,67644.9,67617.9,ns,,,,,
"mshift_promoted<2>",10144,65395.1,65371.7,ns,,,,,
"mcomp<2>",9938,67588.6,67560.2,ns,,,,,
"mcomp_promoted<2>",10378,67577,67550.2,ns,,,,,
"built_in<3>",9873,69318.4,69291.7,ns,,,,,
"built_in_distance<3>",9969,69345.7,69321,ns,,,,,
"mshift<3>",8111,86624.7,86591.4,ns,,,,,
"mshift_promoted<3>",7783,87831.5,87797,ns,,,,,
"mcomp<3>",9196,74801.8,74765.5,ns,,,,,
"mcomp_promoted<3>",9151,74671,74643.8,ns,,,,,
"new_algo<3>",6908,98254.6,98220.7,ns,,,,,
"built_in<4>",17212,40787,40771.8,ns,,,,,
"built_in_distance<4>",17297,40720.6,40704.9,ns,,,,,
"mshift<4>",10371,68114.6,68089.6,ns,,,,,
"mshift_promoted<4>",10328,64999.7,64974.6,ns,,,,,
"mcomp<4>",10268,67548.4,67521.8,ns,,,,,
"mcomp_promoted<4>",9826,67636.6,67602.6,ns,,,,,
"built_in<5>",9994,68522.5,68497.6,ns,,,,,
"built_in_distance<5>",9845,68854.5,68827,ns,,,,,
"mshift<5>",7855,86660.5,86627,ns,,,,,
"mshift_promoted<5>",7934,86666.9,86634,ns,,,,,
